LGA,Year to December 2009,Year to December 2010,Year to December 2011,Year to December 2012,Year to December 2013,Year to December 2014,Year to December 2015,Year to December 2016,Year to December 2017,Year to December 2018
New South Wales,10022,9699,9573,9247,9349,9328,9040,8968,8935,9117
Armidale Regional,48,64,63,90,61,58,49,63,53,57
Canada Bay,47,39,32,29,35,45,27,35,50,33
Central Coast,551,498,462,460,427,489,499,582,510,575
Albury,112,84,80,95,120,100,76,95,128,115
Ballina,69,62,74,53,37,58,27,39,34,40
Balranald,10,5,15,7,6,6,6,3,7,5
Bathurst Regional,84,70,88,58,67,84,70,45,68,72
Bayside,124,123,122,124,120,129,120,153,164,167
Bega Valley,50,45,43,61,47,26,52,41,41,24
Bellingen,8,13,11,9,10,7,11,11,7,12
Berrigan,11,6,12,8,9,4,4,6,1,12
Blacktown,676,609,646,600,573,616,552,582,578,592
Bland,8,12,7,6,8,8,8,9,5,4
Blayney,8,5,8,5,8,7,9,9,18,8
Blue Mountains,91,81,97,73,93,79,83,71,99,64
Bogan,10,8,8,12,12,14,6,5,3,1
Bourke,45,53,34,36,45,45,48,25,27,38
Brewarrina,23,18,23,27,31,26,19,18,13,10
Broken Hill,87,71,88,69,74,63,70,51,70,61
Burwood,27,23,21,21,23,18,19,16,23,10
Byron,32,37,32,38,42,38,26,47,31,44
Cabonne,25,10,8,12,10,19,13,8,4,11
Camden,67,68,58,48,60,69,65,77,87,106
Campbelltown,400,411,370,320,311,298,249,257,233,249
Canterbury-Bankstown,285,332,323,310,355,343,368,351,392,321
Carrathool,9,17,4,3,1,7,6,4,4,8
Central Darling,33,43,53,56,62,43,49,37,31,37
Cessnock,100,98,94,112,116,89,104,83,89,78
Clarence Valley,64,58,62,70,76,58,59,87,69,64
Cobar,7,24,16,18,14,15,14,22,16,9
Coffs Harbour,95,128,125,153,150,146,144,128,147,162
Coolamon,3,2,6,4,7,3,2,2,4,4
Coonamble,17,12,16,20,16,19,7,15,16,9
Cootamundra-Gundagai,20,26,23,10,19,19,27,19,14,20
Cowra,47,37,26,23,36,27,35,21,23,21
Cumberland,258,251,265,236,263,253,236,215,241,230
Dubbo Regional,167,157,141,135,160,126,120,125,103,189
Dungog,9,6,7,8,13,7,14,12,13,15
Edward River,20,21,15,16,35,21,18,16,10,17
Eurobodalla,64,36,46,53,61,51,56,55,49,54
Fairfield,187,211,210,201,232,199,254,231,198,185
Federation,19,24,14,10,21,11,13,14,17,6
