State,LGA region,Postcode
Australian Capital Territory,Unincorporated ACT,2600
Australian Capital Territory,Unincorporated ACT,2601
Australian Capital Territory,Unincorporated ACT,2602
Australian Capital Territory,Unincorporated ACT,2603
Australian Capital Territory,Unincorporated ACT,2604
Australian Capital Territory,Unincorporated ACT,2605
Australian Capital Territory,Unincorporated ACT,2606
Australian Capital Territory,Unincorporated ACT,2607
Australian Capital Territory,Unincorporated ACT,2609
Australian Capital Territory,Unincorporated ACT,2611
Australian Capital Territory,Unincorporated ACT,2612
Australian Capital Territory,Unincorporated ACT,2614
Australian Capital Territory,Unincorporated ACT,2615
Australian Capital Territory,Unincorporated ACT,2617
Australian Capital Territory,Unincorporated ACT,2618
Australian Capital Territory,Unincorporated ACT,2619
Australian Capital Territory,Unincorporated ACT,2620
Australian Capital Territory,Unincorporated ACT,2621
Australian Capital Territory,Unincorporated ACT,2626
Australian Capital Territory,Unincorporated ACT,2629
Australian Capital Territory,Unincorporated ACT,2630
Australian Capital Territory,Unincorporated ACT,2900
Australian Capital Territory,Unincorporated ACT,2902
Australian Capital Territory,Unincorporated ACT,2903
Australian Capital Territory,Unincorporated ACT,2904
Australian Capital Territory,Unincorporated ACT,2905
Australian Capital Territory,Unincorporated ACT,2906
Australian Capital Territory,Unincorporated ACT,2911
Australian Capital Territory,Unincorporated ACT,2912
Australian Capital Territory,Unincorporated ACT,2913
Australian Capital Territory,Unincorporated ACT,2914
New South Wales,Albury,2640
New South Wales,Albury,2641
New South Wales,Albury,2642
New South Wales,Albury,3690
New South Wales,Albury,3691
New South Wales,Armidale Regional,2350
New South Wales,Armidale Regional,2351
New South Wales,Armidale Regional,2354
New South Wales,Armidale Regional,2358
New South Wales,Armidale Regional,2359
New South Wales,Armidale Regional,2360
New South Wales,Armidale Regional,2365
New South Wales,Armidale Regional,2369
New South Wales,Armidale Regional,2370
New South Wales,Armidale Regional,2440
New South Wales,Armidale Regional,2453
New South Wales,Armidale Regional,2454
New South Wales,Ballina,2471
New South Wales,Ballina,2472
New South Wales,Ballina,2477
New South Wales,Ballina,2478
New South Wales,Ballina,2479
New South Wales,Ballina,2480
New South Wales,Ballina,2481
New South Wales,Balranald,2648
New South Wales,Balranald,2711
New South Wales,Balranald,2715
New South Wales,Balranald,2736
New South Wales,Balranald,2737
New South Wales,Balranald,2738
New South Wales,Balranald,2878
New South Wales,Balranald,3501
New South Wales,Balranald,3549
New South Wales,Balranald,3597
New South Wales,Balranald,3599
New South Wales,Bathurst Regional,2583
New South Wales,Bathurst Regional,2787
New South Wales,Bathurst Regional,2793
New South Wales,Bathurst Regional,2795
New South Wales,Bathurst Regional,2798
New South Wales,Bathurst Regional,2799
New South Wales,Bathurst Regional,2800
New South Wales,Bathurst Regional,2847
New South Wales,Bathurst Regional,2850
New South Wales,Bega Valley,2545
New South Wales,Bega Valley,2546
New South Wales,Bega Valley,2548
New South Wales,Bega Valley,2549
New South Wales,Bega Valley,2550
New South Wales,Bega Valley,2551
New South Wales,Bega Valley,2630
New South Wales,Bega Valley,2631
New South Wales,Bega Valley,2632
New South Wales,Bega Valley,3890
New South Wales,Bega Valley,3891
New South Wales,Bega Valley,3892
New South Wales,Bellingen,2448
New South Wales,Bellingen,2449
New South Wales,Bellingen,2450
New South Wales,Bellingen,2453
New South Wales,Bellingen,2454
New South Wales,Bellingen,2455
New South Wales,Berrigan,2646
New South Wales,Berrigan,2647
New South Wales,Berrigan,2712
New South Wales,Berrigan,2713
New South Wales,Berrigan,2714
New South Wales,Berrigan,3641
New South Wales,Berrigan,3644
New South Wales,Berrigan,3730
New South Wales,Blacktown,2145
New South Wales,Blacktown,2146
New South Wales,Blacktown,2147
New South Wales,Blacktown,2148
New South Wales,Blacktown,2153
New South Wales,Blacktown,2155
New South Wales,Blacktown,2164
New South Wales,Blacktown,2175
New South Wales,Blacktown,2178
New South Wales,Blacktown,2747
New South Wales,Blacktown,2756
New South Wales,Blacktown,2759
New South Wales,Blacktown,2760
New South Wales,Blacktown,2761
New South Wales,Blacktown,2762
New South Wales,Blacktown,2763
New South Wales,Blacktown,2765
New South Wales,Blacktown,2766
New South Wales,Blacktown,2767
New South Wales,Blacktown,2768
New South Wales,Blacktown,2769
New South Wales,Blacktown,2770
New South Wales,Bland,2594
New South Wales,Bland,2665
New South Wales,Bland,2666
New South Wales,Bland,2668
New South Wales,Bland,2669
New South Wales,Bland,2671
New South Wales,Bland,2672
New South Wales,Bland,2675
New South Wales,Bland,2721
New South Wales,Bland,2810
New South Wales,Bland,2871
New South Wales,Blayney,2791
New South Wales,Blayney,2792
New South Wales,Blayney,2793
New South Wales,Blayney,2795
New South Wales,Blayney,2797
New South Wales,Blayney,2798
New South Wales,Blayney,2799
New South Wales,Blayney,2800
New South Wales,Blue Mountains,2745
New South Wales,Blue Mountains,2749
New South Wales,Blue Mountains,2750
New South Wales,Blue Mountains,2753
New South Wales,Blue Mountains,2758
New South Wales,Blue Mountains,2773
New South Wales,Blue Mountains,2774
New South Wales,Blue Mountains,2776
New South Wales,Blue Mountains,2777
New South Wales,Blue Mountains,2778
New South Wales,Blue Mountains,2779
New South Wales,Blue Mountains,2780
New South Wales,Blue Mountains,2782
New South Wales,Blue Mountains,2783
New South Wales,Blue Mountains,2784
New South Wales,Blue Mountains,2785
New South Wales,Blue Mountains,2786
New South Wales,Blue Mountains,2787
New South Wales,Blue Mountains,2790
New South Wales,Bogan,2824
New South Wales,Bogan,2825
New South Wales,Bogan,2826
New South Wales,Bogan,2831
New South Wales,Bogan,2835
New South Wales,Bogan,2839
New South Wales,Bogan,2873
New South Wales,Bogan,2877
New South Wales,Bayside,2015
New South Wales,Bayside,2018
New South Wales,Bayside,2019
New South Wales,Bayside,2020
New South Wales,Bayside,2032
New South Wales,Bayside,2033
New South Wales,Bayside,2035
New South Wales,Bayside,2036
New South Wales,Bayside,2044
New South Wales,Bourke,2831
New South Wales,Bourke,2835
New South Wales,Bourke,2839
New South Wales,Bourke,2840
New South Wales,Bourke,4490
New South Wales,Bourke,4493
New South Wales,Brewarrina,2831
New South Wales,Brewarrina,2832
New South Wales,Brewarrina,2834
New South Wales,Brewarrina,2838
New South Wales,Brewarrina,2839
New South Wales,Brewarrina,2840
New South Wales,Brewarrina,4486
New South Wales,Brewarrina,4490
New South Wales,Broken Hill,2880
New South Wales,Burwood,2046
New South Wales,Burwood,2132
New South Wales,Burwood,2133
New South Wales,Burwood,2134
New South Wales,Burwood,2135
New South Wales,Burwood,2136
New South Wales,Burwood,2137
New South Wales,Burwood,2191
New South Wales,Burwood,2194
New South Wales,Byron,2477
New South Wales,Byron,2479
New South Wales,Byron,2480
New South Wales,Byron,2481
New South Wales,Byron,2482
New South Wales,Byron,2483
New South Wales,Byron,2484
New South Wales,Cabonne,2792
New South Wales,Cabonne,2795
New South Wales,Cabonne,2798
New South Wales,Cabonne,2799
