LGA,year,Business_entries,Business_exits,New_business_entries_rate
Albury,2011,NA,NA,NA
Albury,2012,NA,NA,NA
Albury,2013,NA,NA,NA
Albury,2014,591,538,0.08967851099830795
Albury,2015,498,432,0.13253012048192772
Albury,2016,466,422,0.0944206008583691
Albury,2017,526,448,0.1482889733840304
Armidale,2011,NA,NA,NA
Armidale,2012,NA,NA,NA
Armidale,2013,NA,NA,NA
Armidale,2014,290,277,0.04482758620689655
Armidale,2015,304,257,0.15460526315789475
Armidale,2016,226,283,-0.252212389380531
Armidale,2017,242,249,-0.028925619834710745
Ballina,2011,NA,NA,NA
Ballina,2012,NA,NA,NA
Ballina,2013,NA,NA,NA
Ballina,2014,413,466,-0.12832929782082325
Ballina,2015,409,435,-0.06356968215158924
Ballina,2016,466,444,0.04721030042918455
Ballina,2017,443,418,0.056433408577878104
Balranald,2011,NA,NA,NA
Balranald,2012,NA,NA,NA
Balranald,2013,NA,NA,NA
Balranald,2014,27,16,0.4074074074074074
Balranald,2015,21,21,0
Balranald,2016,22,22,0
Balranald,2017,25,25,0
Bathurst,2011,NA,NA,NA
Bathurst,2012,NA,NA,NA
Bathurst,2013,NA,NA,NA
Bathurst,2014,344,351,-0.020348837209302327
Bathurst,2015,314,326,-0.03821656050955414
Bathurst,2016,374,312,0.1657754010695187
Bathurst,2017,384,328,0.14583333333333334
Bayside,2011,NA,NA,NA
Bayside,2012,NA,NA,NA
Bayside,2013,NA,NA,NA
Bayside,2014,2135,1778,0.16721311475409836
Bayside,2015,2175,1831,0.15816091954022987
Bayside,2016,2609,1791,0.3135300881563818
Bayside,2017,2852,1840,0.3548387096774194
Bega,2011,NA,NA,NA
Bega,2012,NA,NA,NA
Bega,2013,NA,NA,NA
Bega,2014,253,322,-0.2727272727272727
Bega,2015,236,303,-0.2838983050847458
Bega,2016,299,294,0.016722408026755852
Bega,2017,298,302,-0.013422818791946308
Bellingen,2011,NA,NA,NA
Bellingen,2012,NA,NA,NA
Bellingen,2013,NA,NA,NA
Bellingen,2014,96,131,-0.3645833333333333
Bellingen,2015,101,125,-0.2376237623762376
Bellingen,2016,112,119,-0.0625
Bellingen,2017,131,130,0.007633587786259542
Berrigan,2011,NA,NA,NA
Berrigan,2012,NA,NA,NA
Berrigan,2013,NA,NA,NA
Berrigan,2014,105,91,0.13333333333333333
Berrigan,2015,73,76,-0.0410958904109589
Berrigan,2016,80,92,-0.15
Berrigan,2017,83,100,-0.20481927710843373
Blacktown,2011,NA,NA,NA
Blacktown,2012,NA,NA,NA
Blacktown,2013,NA,NA,NA
Blacktown,2014,2827,2702,0.04421648390519986
Blacktown,2015,3048,2577,0.1545275590551181
Blacktown,2016,3683,2638,0.2837360847135487
Blacktown,2017,4444,2724,0.387038703870387
Bland,2011,NA,NA,NA
Bland,2012,NA,NA,NA
Bland,2013,NA,NA,NA
Bland,2014,87,59,0.3218390804597701
Bland,2015,63,82,-0.30158730158730157
Bland,2016,79,78,0.012658227848101266
Bland,2017,79,76,0.0379746835443038
Blayney,2011,NA,NA,NA
Blayney,2012,NA,NA,NA
Blayney,2013,NA,NA,NA
Blayney,2014,84,59,0.2976190476190476
Blayney,2015,64,59,0.078125
Blayney,2016,63,78,-0.23809523809523808
Blayney,2017,86,59,0.313953488372093
Blue,2011,NA,NA,NA
Blue,2012,NA,NA,NA
Blue,2013,NA,NA,NA
Blue,2014,608,655,-0.07730263157894737
Blue,2015,623,675,-0.08346709470304976
Blue,2016,688,599,0.12936046511627908
Blue,2017,687,648,0.056768558951965066
Bogan,2011,NA,NA,NA
Bogan,2012,NA,NA,NA
Bogan,2013,NA,NA,NA
Bogan,2014,36,27,0.25
Bogan,2015,35,42,-0.2
Bogan,2016,44,34,0.22727272727272727
Bogan,2017,42,28,0.3333333333333333
Bourke,2011,NA,NA,NA
Bourke,2012,NA,NA,NA
Bourke,2013,NA,NA,NA
Bourke,2014,22,24,-0.09090909090909091
Bourke,2015,17,22,-0.29411764705882354
Bourke,2016,19,25,-0.3157894736842105
Bourke,2017,23,9,0.6086956521739131
Brewarrina,2011,NA,NA,NA
Brewarrina,2012,NA,NA,NA
