LGA,YEAR,Median Employee income $
Albury,2011,39510
Albury,2012,40988
Albury,2013,41956
Albury,2014,42894
Albury,2015,44000
Albury,2016,45382
Albury,2017,-
Armidale Regional,2011,34393
Armidale Regional,2012,35297
Armidale Regional,2013,36810
Armidale Regional,2014,37646
Armidale Regional,2015,39261
Armidale Regional,2016,39733
Armidale Regional,2017,-
Ballina,2011,33776
Ballina,2012,35583
Ballina,2013,36671
Ballina,2014,37805
Ballina,2015,38805
Ballina,2016,40397
Ballina,2017,-
Balranald,2011,30424
Balranald,2012,33741
Balranald,2013,32996
Balranald,2014,33586
Balranald,2015,36575
Balranald,2016,39057
Balranald,2017,-
Bathurst Regional,2011,40870
Bathurst Regional,2012,42914
Bathurst Regional,2013,43769
Bathurst Regional,2014,44641
Bathurst Regional,2015,46378
Bathurst Regional,2016,47994
Bathurst Regional,2017,-
Bayside,2011,43616
Bayside,2012,45857
Bayside,2013,47780
Bayside,2014,49070
Bayside,2015,50093
Bayside,2016,51928
Bayside,2017,-
Bega Valley,2011,32723
Bega Valley,2012,34345
Bega Valley,2013,35283
Bega Valley,2014,36506
Bega Valley,2015,37331
Bega Valley,2016,38672
Bega Valley,2017,-
Bellingen,2011,31200
Bellingen,2012,33022
Bellingen,2013,34358
Bellingen,2014,35747
Bellingen,2015,36667
Bellingen,2016,38420
Bellingen,2017,-
Berrigan,2011,32961
Berrigan,2012,33755
Berrigan,2013,34576
Berrigan,2014,36399
Berrigan,2015,37235
Berrigan,2016,39500
Berrigan,2017,-
Blacktown,2011,44785
Blacktown,2012,46443
Blacktown,2013,47728
Blacktown,2014,48767
Blacktown,2015,49863
Blacktown,2016,51696
Blacktown,2017,-
Bland,2011,31603
Bland,2012,33815
Bland,2013,34447
Bland,2014,34792
Bland,2015,36203
Bland,2016,37929
Bland,2017,-
Blayney,2011,40742
Blayney,2012,41711
Blayney,2013,42860
Blayney,2014,43597
Blayney,2015,44611
Blayney,2016,46806
Blayney,2017,-
Blue Mountains,2011,44049
Blue Mountains,2012,45916
Blue Mountains,2013,47138
Blue Mountains,2014,48125
Blue Mountains,2015,49242
Blue Mountains,2016,51018
Blue Mountains,2017,-
Bogan,2011,34452
Bogan,2012,37024
Bogan,2013,38542
Bogan,2014,39861
Bogan,2015,41037
Bogan,2016,42090
Bogan,2017,-
Bourke,2011,35817
Bourke,2012,38914
Bourke,2013,39950
Bourke,2014,41881
Bourke,2015,43942
Bourke,2016,47537
Bourke,2017,-
Brewarrina,2011,28801
Brewarrina,2012,33117
Brewarrina,2013,37115
Brewarrina,2014,39111
Brewarrina,2015,39738
Brewarrina,2016,43251
Brewarrina,2017,-
Broken Hill,2011,38050
Broken Hill,2012,41540
Broken Hill,2013,43691
Broken Hill,2014,43597
Broken Hill,2015,45029
Broken Hill,2016,47574
Broken Hill,2017,-
Burwood,2011,34541
Burwood,2012,36751
Burwood,2013,38632
Burwood,2014,39644
Burwood,2015,40703
Burwood,2016,42264
Burwood,2017,-
Byron,2011,25471
