LGA,YEAR,Unemployment_rate
Albury,2011,5.8
Albury,2012,-
Albury,2013,-
Albury,2014,-
Albury,2015,-
Albury,2016,6.8
Albury,2017,-
Armidale Regional,2011,7.2
Armidale Regional,2012,-
Armidale Regional,2013,-
Armidale Regional,2014,-
Armidale Regional,2015,-
Armidale Regional,2016,7.7
Armidale Regional,2017,-
Ballina,2011,6.3
Ballina,2012,-
Ballina,2013,-
Ballina,2014,-
Ballina,2015,-
Ballina,2016,5.9
Ballina,2017,-
Balranald,2011,4.3
Balranald,2013,-
Balranald,2014,-
Balranald,2016,5.3
Balranald,2017,-
Bathurst Regional,2011,5.3
Bathurst Regional,2012,-
Bathurst Regional,2013,-
Bathurst Regional,2014,-
Bathurst Regional,2015,-
Bathurst Regional,2016,6
Bathurst Regional,2017,-
Bayside,2011,5.7
Bayside,2012,-
Bayside,2013,-
Bayside,2014,-
Bayside,2015,-
Bayside,2016,6
Bayside,2017,-
Bega Valley,2011,5.9
Bega Valley,2012,-
Bega Valley,2013,-
Bega Valley,2014,-
Bega Valley,2015,-
Bega Valley,2016,5.4
Bega Valley,2017,-
Bellingen,2011,8
Bellingen,2012,-
Bellingen,2013,-
Bellingen,2014,-
Bellingen,2015,-
Bellingen,2016,7.2
Bellingen,2017,-
Berrigan,2011,4.4000000000000004
Berrigan,2012,-
Berrigan,2013,-
Berrigan,2014,-
Berrigan,2015,-
Berrigan,2016,4.8
Berrigan,2017,-
Blacktown,2011,7.2
Blacktown,2012,-
Blacktown,2013,-
Blacktown,2014,-
Blacktown,2015,-
Blacktown,2016,7.3
Blacktown,2017,-
Bland,2011,3.6
Bland,2012,-
Bland,2013,-
Bland,2014,-
Bland,2015,-
Bland,2016,3.6
Bland,2017,-
Blayney,2011,4.7
Blayney,2012,-
Blayney,2013,-
Blayney,2014,-
Blayney,2015,-
Blayney,2016,5.8
Blayney,2017,-
Blue Mountains,2011,4.9000000000000004
Blue Mountains,2012,-
Blue Mountains,2013,-
Blue Mountains,2014,-
Blue Mountains,2015,-
Blue Mountains,2016,4.7
Blue Mountains,2017,-
Bogan,2011,5.6
Bogan,2012,-
Bogan,2013,-
Bogan,2014,-
Bogan,2015,-
Bogan,2016,5
Bogan,2017,-
Bourke,2011,5.2
Bourke,2012,-
Bourke,2013,-
Bourke,2014,-
Bourke,2015,-
Bourke,2016,6.5
Bourke,2017,-
Brewarrina,2011,12.7
Brewarrina,2012,-
Brewarrina,2013,-
Brewarrina,2015,-
Brewarrina,2016,16
Brewarrina,2017,-
Broken Hill,2011,8.3000000000000007
Broken Hill,2012,-
Broken Hill,2013,-
Broken Hill,2014,-
Broken Hill,2015,-
Broken Hill,2016,8.8000000000000007
Broken Hill,2017,-
Burwood,2011,6.8
Burwood,2012,-
Burwood,2013,-
Burwood,2014,-
Burwood,2015,-
Burwood,2016,7.6
Burwood,2017,-
Byron,2011,8.5
Byron,2012,-
Byron,2013,-
Byron,2014,-
Byron,2015,-
Byron,2016,6.5
Byron,2017,-
Cabonne,2011,3.8
Cabonne,2012,-
Cabonne,2013,-
Cabonne,2014,-
Cabonne,2015,-
Cabonne,2016,4.3
Cabonne,2017,-
Camden,2011,4
Camden,2012,-
Camden,2013,-
Camden,2014,-
Camden,2015,-
Camden,2016,4.0999999999999996
Camden,2017,-
Campbelltown,2011,7.4
Campbelltown,2012,-
Campbelltown,2013,-
Campbelltown,2014,-
Campbelltown,2015,-
Campbelltown,2016,7.9
Campbelltown,2017,-
Canada Bay,2011,4.3
Canada Bay,2012,-
Canada Bay,2013,-
Canada Bay,2014,-
Canada Bay,2015,-
Canada Bay,2016,5
Canada Bay,2017,-
Canterbury-Bankstown,2011,7.8
Canterbury-Bankstown,2012,-
Canterbury-Bankstown,2013,-
Canterbury-Bankstown,2014,-
Canterbury-Bankstown,2015,-
Canterbury-Bankstown,2016,8.1999999999999993
Canterbury-Bankstown,2017,-
Carrathool,2011,4.0999999999999996
Carrathool,2012,-
Carrathool,2013,-
Carrathool,2014,-
Carrathool,2015,-
Carrathool,2016,3.2
Carrathool,2017,-
Central Coast,2011,6.9
Central Coast,2012,-
Central Coast,2013,-
Central Coast,2014,-
Central Coast,2015,-
Central Coast,2016,6.8
Central Coast,2017,-
Central Darling,2011,10.1
Central Darling,2012,-
Central Darling,2013,-
Central Darling,2014,-
Central Darling,2016,11.2
Central Darling,2017,-
Cessnock,2011,6.5
Cessnock,2012,-
Cessnock,2013,-
Cessnock,2014,-
Cessnock,2015,-
Cessnock,2016,8.6999999999999993
Cessnock,2017,-
Clarence Valley,2011,8.9
Clarence Valley,2012,-
Clarence Valley,2013,-
Clarence Valley,2014,-
Clarence Valley,2015,-
Clarence Valley,2016,9
Clarence Valley,2017,-
Cobar,2011,4.3
Cobar,2012,-
Cobar,2013,-
Cobar,2014,-
Cobar,2015,-
Cobar,2016,5.8
Cobar,2017,-
Coffs Harbour,2011,8.3000000000000007
Coffs Harbour,2012,-
Coffs Harbour,2013,-
Coffs Harbour,2014,-
Coffs Harbour,2015,-
Coffs Harbour,2016,7.3
Coffs Harbour,2017,-
Coolamon,2011,3.7
Coolamon,2012,-
Coolamon,2013,-
Coolamon,2014,-
Coolamon,2015,-
Coolamon,2016,5.5
Coolamon,2017,-
Coonamble,2011,8.1
Coonamble,2012,-
Coonamble,2013,-
Coonamble,2014,-
Coonamble,2015,-
Coonamble,2016,9
Coonamble,2017,-
Cootamundra-Gundagai Regional,2011,4.9000000000000004
Cootamundra-Gundagai Regional,2012,-
Cootamundra-Gundagai Regional,2013,-
Cootamundra-Gundagai Regional,2014,-
Cootamundra-Gundagai Regional,2015,-
Cootamundra-Gundagai Regional,2016,5.5
Cootamundra-Gundagai Regional,2017,-
Cowra,2011,6.8
Cowra,2012,-
Cowra,2013,-
Cowra,2014,-
Cowra,2015,-
Cowra,2016,6.5
Cowra,2017,-
Cumberland,2011,8.4
Cumberland,2012,-
Cumberland,2013,-
Cumberland,2014,-
Cumberland,2015,-
Cumberland,2016,9.5
Cumberland,2017,-
Dubbo Regional,2011,5.4
Dubbo Regional,2012,-
Dubbo Regional,2013,-
Dubbo Regional,2014,-
Dubbo Regional,2015,-
Dubbo Regional,2016,5.9
Dubbo Regional,2017,-
Dungog,2011,4.4000000000000004
Dungog,2012,-
Dungog,2013,-
Dungog,2014,-
Dungog,2015,-
Dungog,2016,5.5
Dungog,2017,-
Edward River,2011,3.9
Edward River,2012,-
Edward River,2013,-
Edward River,2014,-
Edward River,2015,-
Edward River,2016,5
Edward River,2017,-
Eurobodalla,2011,7.5
Eurobodalla,2012,-
Eurobodalla,2013,-
Eurobodalla,2014,-
Eurobodalla,2015,-
Eurobodalla,2016,7.1
Eurobodalla,2017,-
Fairfield,2011,9.6999999999999993
Fairfield,2012,-
Fairfield,2013,-
Fairfield,2014,-
Fairfield,2015,-
Fairfield,2016,10.5
Fairfield,2017,-
Federation,2011,4.5999999999999996
Federation,2012,-
Federation,2013,-
Federation,2014,-
Federation,2015,-
Federation,2016,4.9000000000000004
Federation,2017,-
Forbes,2011,5.4
Forbes,2012,-
Forbes,2013,-
Forbes,2014,-
Forbes,2015,-
Forbes,2016,5.4
Forbes,2017,-
Georges River,2011,5.8
Georges River,2012,-
Georges River,2013,-
Georges River,2014,-
Georges River,2015,-
Georges River,2016,6.5
Georges River,2017,-
Gilgandra,2011,6.2
Gilgandra,2012,-
Gilgandra,2013,-
Gilgandra,2014,-
Gilgandra,2015,-
Gilgandra,2016,5.8
Gilgandra,2017,-
Glen Innes Severn,2011,6.7
Glen Innes Severn,2012,-
Glen Innes Severn,2013,-
Glen Innes Severn,2014,-
Glen Innes Severn,2015,-
Glen Innes Severn,2016,8.1
Glen Innes Severn,2017,-
Goulburn Mulwaree,2011,5.7
Goulburn Mulwaree,2012,-
Goulburn Mulwaree,2013,-
Goulburn Mulwaree,2014,-
Goulburn Mulwaree,2015,-
Goulburn Mulwaree,2016,6.3
Goulburn Mulwaree,2017,-
Greater Hume Shire,2011,4.0999999999999996
Greater Hume Shire,2012,-
Greater Hume Shire,2013,-
Greater Hume Shire,2014,-
Greater Hume Shire,2015,-
Greater Hume Shire,2016,4.5999999999999996
Greater Hume Shire,2017,-
Griffith,2011,4.9000000000000004
Griffith,2012,-
Griffith,2013,-
Griffith,2014,-
Griffith,2015,-
Griffith,2016,4.8
Griffith,2017,-
Gunnedah,2011,6
Gunnedah,2012,-
Gunnedah,2013,-
Gunnedah,2014,-
Gunnedah,2015,-
Gunnedah,2016,5.5
Gunnedah,2017,-
Gwydir,2011,5
Gwydir,2012,-
Gwydir,2013,-
Gwydir,2014,-
Gwydir,2015,-
Gwydir,2016,4.8
Gwydir,2017,-
Hawkesbury,2011,4.5999999999999996
Hawkesbury,2012,-
Hawkesbury,2013,-
Hawkesbury,2014,-
Hawkesbury,2015,-
Hawkesbury,2016,4.3
Hawkesbury,2017,-
Hay,2011,3.6
Hay,2012,-
Hay,2013,-
Hay,2014,-
Hay,2015,-
Hay,2016,4.5999999999999996
Hay,2017,-
Hilltops,2011,5.8
Hilltops,2012,-
Hilltops,2013,-
Hilltops,2014,-
Hilltops,2015,-
Hilltops,2016,5.5
Hilltops,2017,-
Hornsby,2011,4.5999999999999996
Hornsby,2012,-
Hornsby,2013,-
Hornsby,2014,-
Hornsby,2015,-
Hornsby,2016,4.8
Hornsby,2017,-
Hunters Hill,2011,3.6
Hunters Hill,2012,-
Hunters Hill,2013,-
Hunters Hill,2014,-
Hunters Hill,2015,-
Hunters Hill,2016,3.4
Hunters Hill,2017,-
Inner West,2011,5.0999999999999996
Inner West,2012,-
Inner West,2013,-
Inner West,2014,-
Inner West,2015,-
Inner West,2016,4.8
Inner West,2017,-
Inverell,2011,7.3
Inverell,2012,-
Inverell,2013,-
Inverell,2014,-
Inverell,2015,-
Inverell,2016,7.4
Inverell,2017,-
Junee,2011,5
Junee,2012,-
Junee,2013,-
Junee,2014,-
Junee,2015,-
Junee,2016,4.8
Junee,2017,-
Kempsey,2011,8.9
Kempsey,2012,-
Kempsey,2013,-
Kempsey,2014,-
Kempsey,2015,-
Kempsey,2016,8.5
Kempsey,2017,-
Kiama,2011,4.3
Kiama,2012,-
Kiama,2013,-
Kiama,2014,-
Kiama,2015,-
Kiama,2016,4.4000000000000004
Kiama,2017,-
Ku-ring-gai,2011,4.4000000000000004
Ku-ring-gai,2012,-
Ku-ring-gai,2013,-
Ku-ring-gai,2014,-
Ku-ring-gai,2015,-
Ku-ring-gai,2016,4.7
Ku-ring-gai,2017,-
Kyogle,2011,9.1999999999999993
Kyogle,2012,-
Kyogle,2013,-
Kyogle,2014,-
Kyogle,2015,-
Kyogle,2016,8.6999999999999993
Kyogle,2017,-
Lachlan,2011,4.7
Lachlan,2012,-
Lachlan,2013,-
Lachlan,2014,-
Lachlan,2015,-
Lachlan,2016,6.8
Lachlan,2017,-
Lake Macquarie,2011,5.3
Lake Macquarie,2012,-
Lake Macquarie,2013,-
Lake Macquarie,2014,-
Lake Macquarie,2015,-
Lake Macquarie,2016,6.9
Lake Macquarie,2017,-
Lane Cove,2011,3.7
Lane Cove,2012,-
Lane Cove,2013,-
Lane Cove,2014,-
Lane Cove,2015,-
Lane Cove,2016,4.4000000000000004
Lane Cove,2017,-
Leeton,2011,4.3
Leeton,2012,-
Leeton,2013,-
Leeton,2014,-
Leeton,2015,-
Leeton,2016,5.2
Leeton,2017,-
Lismore,2011,8.1999999999999993
Lismore,2012,-
Lismore,2013,-
Lismore,2014,-
Lismore,2015,-
Lismore,2016,7.8
Lismore,2017,-
Lithgow,2011,7.2
Lithgow,2012,-
Lithgow,2013,-
Lithgow,2014,-
Lithgow,2015,-
Lithgow,2016,7.7
Lithgow,2017,-
Liverpool,2011,7
Liverpool,2012,-
Liverpool,2013,-
Liverpool,2014,-
Liverpool,2015,-
Liverpool,2016,7.5
Liverpool,2017,-
Liverpool Plains,2011,6
Liverpool Plains,2012,-
Liverpool Plains,2013,-
Liverpool Plains,2014,-
Liverpool Plains,2015,-
Liverpool Plains,2016,7.4
Liverpool Plains,2017,-
Lockhart,2011,4.4000000000000004
Lockhart,2012,-
Lockhart,2013,-
Lockhart,2014,-
Lockhart,2015,-
Lockhart,2016,4
Lockhart,2017,-
Maitland,2011,5
Maitland,2012,-
Maitland,2013,-
Maitland,2014,-
Maitland,2015,-
Maitland,2016,7.3
Maitland,2017,-
Mid-Coast,2011,8.6
Mid-Coast,2012,-
Mid-Coast,2013,-
Mid-Coast,2014,-
Mid-Coast,2015,-
Mid-Coast,2016,9
Mid-Coast,2017,-
Mid-Western Regional,2011,5.7
Mid-Western Regional,2012,-
Mid-Western Regional,2013,-
Mid-Western Regional,2014,-
Mid-Western Regional,2015,-
Mid-Western Regional,2016,6.5
Mid-Western Regional,2017,-
Moree Plains,2011,6
Moree Plains,2012,-
Moree Plains,2013,-
Moree Plains,2014,-
Moree Plains,2015,-
Moree Plains,2016,6.4
Moree Plains,2017,-
Mosman,2011,3.7
Mosman,2012,-
Mosman,2013,-
Mosman,2014,-
Mosman,2015,-
Mosman,2016,3.9
Mosman,2017,-
Murray River,2011,4.3
Murray River,2012,-
Murray River,2013,-
Murray River,2014,-
Murray River,2015,-
Murray River,2016,3.7
Murray River,2017,-
Murrumbidgee,2011,3.4
Murrumbidgee,2012,-
Murrumbidgee,2013,-
