"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"1","Armidale Regional","2008",11.7,22.4,30.5,35.4
"2","Armidale Regional","2009",12.5,21.9,30.1,35.4
"3","Armidale Regional","2010",12.3,22.3,31,34.4
"4","Armidale Regional","2011",12.1,25,29.8,33.1
"5","Armidale Regional","2012",11.7,27.8,25.2,35.3
"6","Armidale Regional","2013",11,28.4,25.6,35
"7","Armidale Regional","2014",9.4,27.4,28.5,34.7
"8","Armidale Regional","2015",8.6,25.8,28,37.6
"9","Armidale Regional","2016",8.3,24.3,27.7,39.6
"10","Armidale Regional","2017",8.8,25,26.4,39.8
"11","Ballina","2008",14.4,19.8,27.5,38.3
"12","Ballina","2009",13.3,19.5,29.6,37.6
"13","Ballina","2010",12.5,18.2,31.9,37.4
"14","Ballina","2011",11.9,22.3,29.1,36.7
"15","Ballina","2012",12.8,26.6,25.3,35.3
"16","Ballina","2013",14.1,27,25.5,33.3
"17","Ballina","2014",12.2,25.7,26,36.1
"18","Ballina","2015",11.8,24.4,25.6,38.3
"19","Ballina","2016",12.2,24.3,23.4,40
"20","Ballina","2017",11.8,24.8,21.1,42.3
"21","Balranald","2008",11,26.3,30.2,32.4
"22","Balranald","2009",10.6,27,30.8,31.6
"23","Balranald","2010",9.4,23,31.5,36.1
"24","Balranald","2011",10.4,24.6,32.6,32.4
"25","Balranald","2012",8.9,27.9,30.9,32.3
"26","Balranald","2013",9.7,26.1,32.1,32.2
"27","Balranald","2014",9.3,22.3,39.2,29.2
"28","Balranald","2015",7.1,25.2,38,29.7
"29","Balranald","2016",6.9,30.4,30.6,32.1
"30","Balranald","2017",8.4,32.1,26.2,33.4
"31","Bathurst Regional","2008",10.1,26.8,29.9,33.2
"32","Bathurst Regional","2009",11.8,23.7,30.1,34.3
"33","Bathurst Regional","2010",11.6,23.6,29.9,34.9
"34","Bathurst Regional","2011",10.1,26.3,29.2,34.4
"35","Bathurst Regional","2012",9.1,30,28.4,32.5
"36","Bathurst Regional","2013",8.3,30.3,28.9,32.5
"37","Bathurst Regional","2014",8.4,28.2,30.3,33.1
"38","Bathurst Regional","2015",9.2,29.7,29.6,31.6
"39","Bathurst Regional","2016",10.5,29.6,25.4,34.6
"40","Bathurst Regional","2017",11.8,28.5,24.6,35.1
"41","Bega Valley","2008",14.1,21.2,26.9,37.8
"42","Bega Valley","2009",14.5,21.3,26.2,38
"43","Bega Valley","2010",14.6,22.1,26.5,36.9
"44","Bega Valley","2011",14.7,24.4,24.8,36.1
"45","Bega Valley","2012",13.4,26.8,22.7,37.1
"46","Bega Valley","2013",11.6,27.5,23.8,37.1
"47","Bega Valley","2014",10,28.2,24.9,36.9
"48","Bega Valley","2015",9.7,26.1,25.2,39
"49","Bega Valley","2016",11.4,24.8,25.2,38.5
"50","Bega Valley","2017",10.5,26.1,24.7,38.7
"51","Bellingen","2008",14.6,19.2,28.6,37.6
"52","Bellingen","2009",14.2,19.8,30,36.1
"53","Bellingen","2010",12.6,21.7,28.8,36.9
"54","Bellingen","2011",13.3,23.9,26,36.7
"55","Bellingen","2012",14,21,28.5,36.5
"56","Bellingen","2013",13.8,16.9,35.3,34
"57","Bellingen","2014",13.6,19.7,35.2,31.4
"58","Bellingen","2015",13.6,20.1,30.1,36.2
"59","Bellingen","2016",12.8,19.6,27.1,40.6
"60","Bellingen","2017",13.6,23.3,25.4,37.7
"61","Berrigan","2008",11.6,21.9,26.7,39.7
"62","Berrigan","2009",12.7,23,25.9,38.5
"63","Berrigan","2010",12.1,24.2,27.3,36.3
"64","Berrigan","2011",11,25.4,27.5,36.1
"65","Berrigan","2012",11,24.5,28.2,36.2
"66","Berrigan","2013",11.6,25.9,26.6,35.9
"67","Berrigan","2014",11.4,25.3,32.2,31.1
"68","Berrigan","2015",10.9,21.1,35.1,32.9
"69","Berrigan","2016",10,21.7,32.9,35.3
"70","Berrigan","2017",9.7,23,30.6,36.7
"71","Blacktown","2008",6,24.3,38.4,31.3
"72","Blacktown","2009",6.5,25,39.2,29.3
"73","Blacktown","2010",6.3,30.1,39.1,24.6
"74","Blacktown","2011",6.3,30.7,38.6,24.5
"75","Blacktown","2012",5.9,28.1,41.4,24.7
"76","Blacktown","2013",4.8,28.7,42.3,24.2
"77","Blacktown","2014",3.9,26.9,45.5,23.7
"78","Blacktown","2015",5.6,24.4,47.4,22.6
"79","Blacktown","2016",5.5,27.6,43.3,23.7
"80","Blacktown","2017",4.1,32.3,39.7,24
"81","Bland","2008",11.6,21.9,26.7,39.7
"82","Bland","2009",12.7,23,25.9,38.5
"83","Bland","2010",12.1,24.2,27.3,36.3
"84","Bland","2011",11,25.4,27.5,36.1
"85","Bland","2012",11,24.5,28.2,36.2
"86","Bland","2013",11.6,25.9,26.6,35.9
"87","Bland","2014",11.4,25.3,32.2,31.1
"88","Bland","2015",10.9,21.1,35.1,32.9
"89","Bland","2016",10,21.7,32.9,35.3
"90","Bland","2017",9.7,23,30.6,36.7
"91","Blayney","2008",10.1,26.8,29.9,33.2
