"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"1","GREATER SYDNEY","Mar.08","340","350",350,"450"
"2","Inner Ring","Mar.08","370","470",640,"900"
"3","Ashfield","Mar.08","250","322.5",485,"507.5"
"4","Botany Bay","Mar.08","245","320",450,"-"
"5","Lane Cove","Mar.08","320","360",550,"950"
"6","Leichhardt","Mar.08","322.5","500",630,"730"
"7","Marrickville","Mar.08","250","377.5",490,"580"
"8","Mosman","Mar.08","350","455",795,"1700"
"9","North Sydney","Mar.08","375","480",680,"1000"
"10","Randwick","Mar.08","350","440",590,"865"
"11","Sydney","Mar.08","400","545",680,"730"
"12","Waverley","Mar.08","360","465",692.5,"1000"
"13","Woollahra","Mar.08","370","515",850,"1925"
"14","Middle Ring","Mar.08","320","330",420,"580"
"15","Auburn","Mar.08","330","310",355,"500"
"16","Bankstown","Mar.08","185","270",350,"400"
"17","Burwood","Mar.08","230","370",482.5,"600"
"18","Canterbury","Mar.08","200","250",375,"450"
"19","Canada Bay","Mar.08","400","450",560,"650"
"20","Hunters Hill","Mar.08","320","450",575,"-"
"21","Hurstville","Mar.08","230","300",400,"500"
"22","Kogarah","Mar.08","240","330",420,"540"
"23","Ku-Ring-Gai","Mar.08","280","420",600,"867.5"
"24","Manly","Mar.08","375","500",670,"1125"
"25","Parramatta","Mar.08","250","300",350,"420"
"26","Rockdale","Mar.08","270","320",420,"500"
"27","Ryde","Mar.08","260","320",460,"555"
"28","Strathfield","Mar.08","300","350",450,"550"
"29","Willoughby","Mar.08","410","480",680,"900"
"30","Outer Ring","Mar.08","210","270",295,"400"
"31","The Hills Shire","Mar.08","220","342.5",390,"530"
"32","Blacktown","Mar.08","160","255",280,"400"
"33","Blue Mountains","Mar.08","157.5","220",260,"350"
"34","Camden","Mar.08","-","260",300,"400"
"35","Campbelltown","Mar.08","157.5","210",260,"337.5"
"36","Fairfield","Mar.08","150","200",285,"360"
"37","Gosford","Mar.08","157.5","240",295,"385"
"38","Hawkesbury","Mar.08","162.5","225",280,"350"
"39","Holroyd","Mar.08","200","280",320,"420"
"40","Hornsby","Mar.08","290","350",420,"550"
"41","Liverpool","Mar.08","155","230",310,"390"
"42","Penrith","Mar.08","167.5","200",270,"350"
"43","Pittwater","Mar.08","300","425",600,"800"
"44","Sutherland Shire","Mar.08","230","330",430,"565"
"45","Warringah","Mar.08","325","405",580,"775"
"46","Wollondilly","Mar.08","165","205",260,"360"
"47","Wyong","Mar.08","148","210",260,"340"
"48","Rest of GMR","Mar.08","150","235",290,"350"
"49","Cessnock","Mar.08","130","190",220,"300"
"50","Kiama","Mar.08","-","225",310,"360"
