Postcode,Offence,Year,State,LGA,violence_count,Person_Population_Number_Total,Population_Density
2640,Liquor offences,2008,New South Wales,Albury,1446,NA,NA
2641,Liquor offences,2008,New South Wales,Albury,154,NA,NA
2642,Liquor offences,2008,New South Wales,Albury,37,NA,NA
3691,Liquor offences,2008,New South Wales,Albury,1,NA,NA
2350,Liquor offences,2008,New South Wales,Armidale Regional,1100,NA,NA
2351,Liquor offences,2008,New South Wales,Armidale Regional,19,NA,NA
2354,Liquor offences,2008,New South Wales,Armidale Regional,122,NA,NA
2358,Liquor offences,2008,New South Wales,Armidale Regional,100,NA,NA
2359,Liquor offences,2008,New South Wales,Armidale Regional,7,NA,NA
2360,Liquor offences,2008,New South Wales,Armidale Regional,393,NA,NA
2365,Liquor offences,2008,New South Wales,Armidale Regional,61,NA,NA
2369,Liquor offences,2008,New South Wales,Armidale Regional,12,NA,NA
2370,Liquor offences,2008,New South Wales,Armidale Regional,122,NA,NA
2440,Liquor offences,2008,New South Wales,Armidale Regional,617,NA,NA
2453,Liquor offences,2008,New South Wales,Armidale Regional,35,NA,NA
2454,Liquor offences,2008,New South Wales,Armidale Regional,270,NA,NA
2471,Liquor offences,2008,New South Wales,Ballina,18,NA,NA
2472,Liquor offences,2008,New South Wales,Ballina,10,NA,NA
2477,Liquor offences,2008,New South Wales,Ballina,60,NA,NA
2478,Liquor offences,2008,New South Wales,Ballina,569,NA,NA
2479,Liquor offences,2008,New South Wales,Ballina,15,NA,NA
2480,Liquor offences,2008,New South Wales,Ballina,1208,NA,NA
2481,Liquor offences,2008,New South Wales,Ballina,2941,NA,NA
2648,Liquor offences,2008,New South Wales,Balranald,34,NA,NA
2711,Liquor offences,2008,New South Wales,Balranald,211,NA,NA
2715,Liquor offences,2008,New South Wales,Balranald,145,NA,NA
2736,Liquor offences,2008,New South Wales,Balranald,12,NA,NA
2737,Liquor offences,2008,New South Wales,Balranald,14,NA,NA
2738,Liquor offences,2008,New South Wales,Balranald,27,NA,NA
2878,Liquor offences,2008,New South Wales,Balranald,29,NA,NA
2583,Liquor offences,2008,New South Wales,Bathurst Regional,119,NA,NA
2787,Liquor offences,2008,New South Wales,Bathurst Regional,80,NA,NA
2793,Liquor offences,2008,New South Wales,Bathurst Regional,8,NA,NA
2795,Liquor offences,2008,New South Wales,Bathurst Regional,728,NA,NA
2798,Liquor offences,2008,New South Wales,Bathurst Regional,7,NA,NA
2799,Liquor offences,2008,New South Wales,Bathurst Regional,45,NA,NA
2800,Liquor offences,2008,New South Wales,Bathurst Regional,928,NA,NA
2847,Liquor offences,2008,New South Wales,Bathurst Regional,31,NA,NA
2850,Liquor offences,2008,New South Wales,Bathurst Regional,657,NA,NA
2015,Liquor offences,2008,New South Wales,Bayside,74,NA,NA
2018,Liquor offences,2008,New South Wales,Bayside,43,NA,NA
2019,Liquor offences,2008,New South Wales,Bayside,132,NA,NA
2020,Liquor offences,2008,New South Wales,Bayside,184,NA,NA
2032,Liquor offences,2008,New South Wales,Bayside,148,NA,NA
2033,Liquor offences,2008,New South Wales,Bayside,56,NA,NA
2035,Liquor offences,2008,New South Wales,Bayside,267,NA,NA
2036,Liquor offences,2008,New South Wales,Bayside,96,NA,NA
2044,Liquor offences,2008,New South Wales,Bayside,324,NA,NA
2204,Liquor offences,2008,New South Wales,Bayside,337,NA,NA
2205,Liquor offences,2008,New South Wales,Bayside,81,NA,NA
2206,Liquor offences,2008,New South Wales,Bayside,69,NA,NA
2207,Liquor offences,2008,New South Wales,Bayside,55,NA,NA
2208,Liquor offences,2008,New South Wales,Bayside,25,NA,NA
2216,Liquor offences,2008,New South Wales,Bayside,221,NA,NA
2217,Liquor offences,2008,New South Wales,Bayside,260,NA,NA
2218,Liquor offences,2008,New South Wales,Bayside,75,NA,NA
2219,Liquor offences,2008,New South Wales,Bayside,46,NA,NA
2220,Liquor offences,2008,New South Wales,Bayside,201,NA,NA
2545,Liquor offences,2008,New South Wales,Bega Valley,26,NA,NA
2546,Liquor offences,2008,New South Wales,Bega Valley,269,NA,NA
2548,Liquor offences,2008,New South Wales,Bega Valley,473,NA,NA
2549,Liquor offences,2008,New South Wales,Bega Valley,96,NA,NA
2550,Liquor offences,2008,New South Wales,Bega Valley,316,NA,NA
2551,Liquor offences,2008,New South Wales,Bega Valley,172,NA,NA
2630,Liquor offences,2008,New South Wales,Bega Valley,410,NA,NA
2631,Liquor offences,2008,New South Wales,Bega Valley,16,NA,NA
2632,Liquor offences,2008,New South Wales,Bega Valley,50,NA,NA
2448,Liquor offences,2008,New South Wales,Bellingen,315,NA,NA
2449,Liquor offences,2008,New South Wales,Bellingen,44,NA,NA
2450,Liquor offences,2008,New South Wales,Bellingen,1493,NA,NA
2453,Liquor offences,2008,New South Wales,Bellingen,35,NA,NA
2454,Liquor offences,2008,New South Wales,Bellingen,270,NA,NA
2455,Liquor offences,2008,New South Wales,Bellingen,40,NA,NA
2646,Liquor offences,2008,New South Wales,Berrigan,169,NA,NA
2647,Liquor offences,2008,New South Wales,Berrigan,147,NA,NA
2712,Liquor offences,2008,New South Wales,Berrigan,35,NA,NA
2713,Liquor offences,2008,New South Wales,Berrigan,133,NA,NA
2714,Liquor offences,2008,New South Wales,Berrigan,136,NA,NA
3644,Liquor offences,2008,New South Wales,Berrigan,39,NA,NA
2145,Liquor offences,2008,New South Wales,Blacktown,247,NA,NA
2146,Liquor offences,2008,New South Wales,Blacktown,100,NA,NA
2147,Liquor offences,2008,New South Wales,Blacktown,161,NA,NA
2148,Liquor offences,2008,New South Wales,Blacktown,1408,NA,NA
2153,Liquor offences,2008,New South Wales,Blacktown,167,NA,NA
2155,Liquor offences,2008,New South Wales,Blacktown,476,NA,NA
2164,Liquor offences,2008,New South Wales,Blacktown,302,NA,NA
2175,Liquor offences,2008,New South Wales,Blacktown,32,NA,NA
2178,Liquor offences,2008,New South Wales,Blacktown,11,NA,NA
2747,Liquor offences,2008,New South Wales,Blacktown,204,NA,NA
2756,Liquor offences,2008,New South Wales,Blacktown,298,NA,NA
2759,Liquor offences,2008,New South Wales,Blacktown,58,NA,NA
2760,Liquor offences,2008,New South Wales,Blacktown,365,NA,NA
2761,Liquor offences,2008,New South Wales,Blacktown,47,NA,NA
2762,Liquor offences,2008,New South Wales,Blacktown,8,NA,NA
2763,Liquor offences,2008,New South Wales,Blacktown,37,NA,NA
2765,Liquor offences,2008,New South Wales,Blacktown,81,NA,NA
2766,Liquor offences,2008,New South Wales,Blacktown,244,NA,NA
2767,Liquor offences,2008,New South Wales,Blacktown,79,NA,NA
2768,Liquor offences,2008,New South Wales,Blacktown,8,NA,NA
2769,Liquor offences,2008,New South Wales,Blacktown,1,NA,NA
2770,Liquor offences,2008,New South Wales,Blacktown,347,NA,NA
2594,Liquor offences,2008,New South Wales,Bland,390,NA,NA
2665,Liquor offences,2008,New South Wales,Bland,233,NA,NA
2666,Liquor offences,2008,New South Wales,Bland,510,NA,NA
2668,Liquor offences,2008,New South Wales,Bland,14,NA,NA
2669,Liquor offences,2008,New South Wales,Bland,36,NA,NA
2671,Liquor offences,2008,New South Wales,Bland,253,NA,NA
2672,Liquor offences,2008,New South Wales,Bland,162,NA,NA
2675,Liquor offences,2008,New South Wales,Bland,92,NA,NA
2721,Liquor offences,2008,New South Wales,Bland,1,NA,NA
2810,Liquor offences,2008,New South Wales,Bland,78,NA,NA
2871,Liquor offences,2008,New South Wales,Bland,215,NA,NA
2791,Liquor offences,2008,New South Wales,Blayney,0,NA,NA
2792,Liquor offences,2008,New South Wales,Blayney,3,NA,NA
2793,Liquor offences,2008,New South Wales,Blayney,8,NA,NA
2795,Liquor offences,2008,New South Wales,Blayney,728,NA,NA
2797,Liquor offences,2008,New South Wales,Blayney,3,NA,NA
2798,Liquor offences,2008,New South Wales,Blayney,7,NA,NA
2799,Liquor offences,2008,New South Wales,Blayney,45,NA,NA
2800,Liquor offences,2008,New South Wales,Blayney,928,NA,NA
2745,Liquor offences,2008,New South Wales,Blue Mountains,111,NA,NA
2749,Liquor offences,2008,New South Wales,Blue Mountains,15,NA,NA
2750,Liquor offences,2008,New South Wales,Blue Mountains,1036,NA,NA
2753,Liquor offences,2008,New South Wales,Blue Mountains,181,NA,NA
2758,Liquor offences,2008,New South Wales,Blue Mountains,11,NA,NA
2773,Liquor offences,2008,New South Wales,Blue Mountains,13,NA,NA
2774,Liquor offences,2008,New South Wales,Blue Mountains,121,NA,NA
2776,Liquor offences,2008,New South Wales,Blue Mountains,4,NA,NA
2777,Liquor offences,2008,New South Wales,Blue Mountains,239,NA,NA
2778,Liquor offences,2008,New South Wales,Blue Mountains,3,NA,NA
2779,Liquor offences,2008,New South Wales,Blue Mountains,22,NA,NA
2780,Liquor offences,2008,New South Wales,Blue Mountains,393,NA,NA
2782,Liquor offences,2008,New South Wales,Blue Mountains,24,NA,NA
2783,Liquor offences,2008,New South Wales,Blue Mountains,18,NA,NA
2784,Liquor offences,2008,New South Wales,Blue Mountains,5,NA,NA
2785,Liquor offences,2008,New South Wales,Blue Mountains,43,NA,NA
2786,Liquor offences,2008,New South Wales,Blue Mountains,8,NA,NA
2787,Liquor offences,2008,New South Wales,Blue Mountains,80,NA,NA
2790,Liquor offences,2008,New South Wales,Blue Mountains,231,NA,NA
2824,Liquor offences,2008,New South Wales,Bogan,251,NA,NA
2825,Liquor offences,2008,New South Wales,Bogan,165,NA,NA
2826,Liquor offences,2008,New South Wales,Bogan,5,NA,NA
2831,Liquor offences,2008,New South Wales,Bogan,16,NA,NA
2835,Liquor offences,2008,New South Wales,Bogan,555,NA,NA
2839,Liquor offences,2008,New South Wales,Bogan,171,NA,NA
2873,Liquor offences,2008,New South Wales,Bogan,5,NA,NA
2877,Liquor offences,2008,New South Wales,Bogan,502,NA,NA
2831,Liquor offences,2008,New South Wales,Bourke,16,NA,NA
2835,Liquor offences,2008,New South Wales,Bourke,555,NA,NA
2839,Liquor offences,2008,New South Wales,Bourke,171,NA,NA
2840,Liquor offences,2008,New South Wales,Bourke,384,NA,NA
2831,Liquor offences,2008,New South Wales,Brewarrina,16,NA,NA
2832,Liquor offences,2008,New South Wales,Brewarrina,451,NA,NA
2834,Liquor offences,2008,New South Wales,Brewarrina,236,NA,NA
2838,Liquor offences,2008,New South Wales,Brewarrina,64,NA,NA
2839,Liquor offences,2008,New South Wales,Brewarrina,171,NA,NA
2840,Liquor offences,2008,New South Wales,Brewarrina,384,NA,NA
2880,Liquor offences,2008,New South Wales,Broken Hill,683,NA,NA
2046,Liquor offences,2008,New South Wales,Burwood,93,NA,NA
2132,Liquor offences,2008,New South Wales,Burwood,21,NA,NA
2133,Liquor offences,2008,New South Wales,Burwood,47,NA,NA
2134,Liquor offences,2008,New South Wales,Burwood,317,NA,NA
2135,Liquor offences,2008,New South Wales,Burwood,300,NA,NA
2136,Liquor offences,2008,New South Wales,Burwood,37,NA,NA
2137,Liquor offences,2008,New South Wales,Burwood,90,NA,NA
2191,Liquor offences,2008,New South Wales,Burwood,14,NA,NA
2194,Liquor offences,2008,New South Wales,Burwood,198,NA,NA
2477,Liquor offences,2008,New South Wales,Byron,60,NA,NA
2479,Liquor offences,2008,New South Wales,Byron,15,NA,NA
2480,Liquor offences,2008,New South Wales,Byron,1208,NA,NA
2481,Liquor offences,2008,New South Wales,Byron,2941,NA,NA
2482,Liquor offences,2008,New South Wales,Byron,59,NA,NA
2483,Liquor offences,2008,New South Wales,Byron,184,NA,NA
2484,Liquor offences,2008,New South Wales,Byron,217,NA,NA
2792,Liquor offences,2008,New South Wales,Cabonne,3,NA,NA
2795,Liquor offences,2008,New South Wales,Cabonne,728,NA,NA
2798,Liquor offences,2008,New South Wales,Cabonne,7,NA,NA
2799,Liquor offences,2008,New South Wales,Cabonne,45,NA,NA
2800,Liquor offences,2008,New South Wales,Cabonne,928,NA,NA
2804,Liquor offences,2008,New South Wales,Cabonne,40,NA,NA
2805,Liquor offences,2008,New South Wales,Cabonne,7,NA,NA
2806,Liquor offences,2008,New South Wales,Cabonne,26,NA,NA
2818,Liquor offences,2008,New South Wales,Cabonne,8,NA,NA
2820,Liquor offences,2008,New South Wales,Cabonne,153,NA,NA
2830,Liquor offences,2008,New South Wales,Cabonne,868,NA,NA
2850,Liquor offences,2008,New South Wales,Cabonne,657,NA,NA
2864,Liquor offences,2008,New South Wales,Cabonne,12,NA,NA
2865,Liquor offences,2008,New South Wales,Cabonne,8,NA,NA
2866,Liquor offences,2008,New South Wales,Cabonne,33,NA,NA
2867,Liquor offences,2008,New South Wales,Cabonne,4,NA,NA
2868,Liquor offences,2008,New South Wales,Cabonne,1,NA,NA
2869,Liquor offences,2008,New South Wales,Cabonne,60,NA,NA
2870,Liquor offences,2008,New South Wales,Cabonne,524,NA,NA
2871,Liquor offences,2008,New South Wales,Cabonne,215,NA,NA
2179,Liquor offences,2008,New South Wales,Camden,55,NA,NA
2556,Liquor offences,2008,New South Wales,Camden,0,NA,NA
2557,Liquor offences,2008,New South Wales,Camden,50,NA,NA
2558,Liquor offences,2008,New South Wales,Camden,11,NA,NA
2559,Liquor offences,2008,New South Wales,Camden,28,NA,NA
2563,Liquor offences,2008,New South Wales,Camden,11,NA,NA
2565,Liquor offences,2008,New South Wales,Camden,208,NA,NA
2566,Liquor offences,2008,New South Wales,Camden,158,NA,NA
2567,Liquor offences,2008,New South Wales,Camden,282,NA,NA
2570,Liquor offences,2008,New South Wales,Camden,458,NA,NA
2745,Liquor offences,2008,New South Wales,Camden,111,NA,NA
2167,Liquor offences,2008,New South Wales,Campbelltown,33,NA,NA
2170,Liquor offences,2008,New South Wales,Campbelltown,1603,NA,NA
2173,Liquor offences,2008,New South Wales,Campbelltown,54,NA,NA
2174,Liquor offences,2008,New South Wales,Campbelltown,1,NA,NA
2179,Liquor offences,2008,New South Wales,Campbelltown,55,NA,NA
2508,Liquor offences,2008,New South Wales,Campbelltown,102,NA,NA
2557,Liquor offences,2008,New South Wales,Campbelltown,50,NA,NA
2558,Liquor offences,2008,New South Wales,Campbelltown,11,NA,NA
2559,Liquor offences,2008,New South Wales,Campbelltown,28,NA,NA
2560,Liquor offences,2008,New South Wales,Campbelltown,1911,NA,NA
2563,Liquor offences,2008,New South Wales,Campbelltown,11,NA,NA
2564,Liquor offences,2008,New South Wales,Campbelltown,85,NA,NA
2565,Liquor offences,2008,New South Wales,Campbelltown,208,NA,NA
2566,Liquor offences,2008,New South Wales,Campbelltown,158,NA,NA
2567,Liquor offences,2008,New South Wales,Campbelltown,282,NA,NA
2568,Liquor offences,2008,New South Wales,Campbelltown,3,NA,NA
2570,Liquor offences,2008,New South Wales,Campbelltown,458,NA,NA
2045,Liquor offences,2008,New South Wales,Canada Bay,32,NA,NA
2046,Liquor offences,2008,New South Wales,Canada Bay,93,NA,NA
2047,Liquor offences,2008,New South Wales,Canada Bay,37,NA,NA
2127,Liquor offences,2008,New South Wales,Canada Bay,893,NA,NA
2131,Liquor offences,2008,New South Wales,Canada Bay,315,NA,NA
2132,Liquor offences,2008,New South Wales,Canada Bay,21,NA,NA
2134,Liquor offences,2008,New South Wales,Canada Bay,317,NA,NA
2135,Liquor offences,2008,New South Wales,Canada Bay,300,NA,NA
2137,Liquor offences,2008,New South Wales,Canada Bay,90,NA,NA
2138,Liquor offences,2008,New South Wales,Canada Bay,42,NA,NA
2139,Liquor offences,2008,New South Wales,Canada Bay,0,NA,NA
2140,Liquor offences,2008,New South Wales,Canada Bay,69,NA,NA
2131,Liquor offences,2008,New South Wales,Canterbury-Bankstown,315,NA,NA
2133,Liquor offences,2008,New South Wales,Canterbury-Bankstown,47,NA,NA
2136,Liquor offences,2008,New South Wales,Canterbury-Bankstown,37,NA,NA
2141,Liquor offences,2008,New South Wales,Canterbury-Bankstown,306,NA,NA
2143,Liquor offences,2008,New South Wales,Canterbury-Bankstown,13,NA,NA
2144,Liquor offences,2008,New South Wales,Canterbury-Bankstown,118,NA,NA
2161,Liquor offences,2008,New South Wales,Canterbury-Bankstown,199,NA,NA
2162,Liquor offences,2008,New South Wales,Canterbury-Bankstown,79,NA,NA
2163,Liquor offences,2008,New South Wales,Canterbury-Bankstown,28,NA,NA
2165,Liquor offences,2008,New South Wales,Canterbury-Bankstown,1465,NA,NA
2166,Liquor offences,2008,New South Wales,Canterbury-Bankstown,775,NA,NA
2170,Liquor offences,2008,New South Wales,Canterbury-Bankstown,1603,NA,NA
2172,Liquor offences,2008,New South Wales,Canterbury-Bankstown,0,NA,NA
2190,Liquor offences,2008,New South Wales,Canterbury-Bankstown,29,NA,NA
2191,Liquor offences,2008,New South Wales,Canterbury-Bankstown,14,NA,NA
2192,Liquor offences,2008,New South Wales,Canterbury-Bankstown,139,NA,NA
2193,Liquor offences,2008,New South Wales,Canterbury-Bankstown,106,NA,NA
2194,Liquor offences,2008,New South Wales,Canterbury-Bankstown,198,NA,NA
2195,Liquor offences,2008,New South Wales,Canterbury-Bankstown,96,NA,NA
2196,Liquor offences,2008,New South Wales,Canterbury-Bankstown,59,NA,NA
2197,Liquor offences,2008,New South Wales,Canterbury-Bankstown,27,NA,NA
2198,Liquor offences,2008,New South Wales,Canterbury-Bankstown,10,NA,NA
2199,Liquor offences,2008,New South Wales,Canterbury-Bankstown,38,NA,NA
2200,Liquor offences,2008,New South Wales,Canterbury-Bankstown,270,NA,NA
2203,Liquor offences,2008,New South Wales,Canterbury-Bankstown,68,NA,NA
2204,Liquor offences,2008,New South Wales,Canterbury-Bankstown,337,NA,NA
2205,Liquor offences,2008,New South Wales,Canterbury-Bankstown,81,NA,NA
2206,Liquor offences,2008,New South Wales,Canterbury-Bankstown,69,NA,NA
2207,Liquor offences,2008,New South Wales,Canterbury-Bankstown,55,NA,NA
2208,Liquor offences,2008,New South Wales,Canterbury-Bankstown,25,NA,NA
2209,Liquor offences,2008,New South Wales,Canterbury-Bankstown,58,NA,NA
2210,Liquor offences,2008,New South Wales,Canterbury-Bankstown,334,NA,NA
2211,Liquor offences,2008,New South Wales,Canterbury-Bankstown,19,NA,NA
2212,Liquor offences,2008,New South Wales,Canterbury-Bankstown,115,NA,NA
2213,Liquor offences,2008,New South Wales,Canterbury-Bankstown,55,NA,NA
2214,Liquor offences,2008,New South Wales,Canterbury-Bankstown,117,NA,NA
2234,Liquor offences,2008,New South Wales,Canterbury-Bankstown,168,NA,NA
2652,Liquor offences,2008,New South Wales,Carrathool,176,NA,NA
