LGA,Year to December 2009,Year to December 2010,Year to December 2011,Year to December 2012,Year to December 2013,Year to December 2014,Year to December 2015,Year to December 2016,Year to December 2017,Year to December 2018
New South Wales,14668,14137,12971,11758,11196,10060,9356,9538,9608,9269
Armidale Regional,78,91,80,118,92,80,66,77,64,55
Canada Bay,55,61,39,40,41,49,29,35,49,21
Central Coast,699,724,597,501,525,543,444,496,482,492
Albury,157,164,134,131,150,141,117,102,138,100
Ballina,84,79,70,51,50,59,52,36,59,51
Balranald,9,11,10,4,9,6,2,8,4,4
Bathurst Regional,120,115,102,105,104,74,70,59,71,77
Bayside,161,129,134,114,94,109,93,111,107,137
Bega Valley,65,52,71,76,68,50,49,47,34,32
Bellingen,20,20,17,19,18,21,12,11,12,7
Berrigan,15,10,9,9,9,9,4,4,6,6
Blacktown,585,520,457,421,418,425,358,383,379,359
Bland,15,12,16,14,9,11,10,10,5,4
Blayney,11,10,10,1,7,5,4,4,11,3
Blue Mountains,131,109,119,82,80,85,62,61,63,59
Bogan,19,8,8,12,18,21,8,4,14,6
Bourke,30,43,26,33,32,29,31,18,13,17
Brewarrina,14,15,22,23,9,22,15,16,14,9
Broken Hill,77,95,102,80,72,59,37,43,60,47
Burwood,31,39,25,23,37,33,24,34,27,25
Byron,158,142,167,180,148,104,92,85,88,97
Cabonne,19,25,18,22,17,22,12,15,4,5
Camden,88,62,64,56,46,39,58,68,61,70
Campbelltown,388,323,296,249,255,198,167,155,176,140
Canterbury-Bankstown,251,262,283,204,220,232,212,238,242,204
Carrathool,16,13,7,17,0,10,2,10,8,6
Central Darling,13,13,26,18,21,19,20,18,14,9
Cessnock,96,103,81,93,64,74,72,65,64,48
Clarence Valley,95,69,70,93,97,80,68,65,65,71
Cobar,13,34,24,26,18,9,7,12,16,12
Coffs Harbour,149,172,151,158,150,131,149,105,165,156
Coolamon,5,9,2,4,4,0,2,4,4,3
Coonamble,24,14,15,21,28,11,10,19,13,18
Cootamundra-Gundagai,32,28,23,14,16,19,25,15,18,16
Cowra,61,64,59,43,45,33,40,37,42,38
Cumberland,243,235,208,168,180,162,171,163,212,190
Dubbo Regional,214,189,174,128,152,138,109,113,119,124
Dungog,10,11,9,3,7,7,7,10,8,6
Edward River,20,18,26,25,25,27,18,9,17,15
Eurobodalla,109,83,76,69,72,63,42,63,74,59
Fairfield,214,189,186,168,151,130,124,141,137,116
Federation,33,18,16,25,21,12,17,18,14,19
Forbes,30,33,36,27,25,33,22,25,23,24
Georges River,115,144,128,94,84,76,90,101,88,89
Gilgandra,21,29,8,15,8,7,9,4,2,6
Glen Innes Severn,23,20,20,22,23,16,16,27,27,25
Goulburn Mulwaree,74,76,57,45,52,52,45,46,50,42
Greater Hume Shire,11,12,10,4,6,3,10,2,3,2
Griffith,86,96,82,72,65,56,56,60,46,46
Gunnedah,33,37,43,30,52,26,30,30,40,24
Gwydir,8,5,8,4,6,7,8,3,5,6
Hawkesbury,123,138,105,90,82,69,75,60,69,67
Hay,6,11,6,4,16,15,2,10,7,9
Hilltops,38,50,31,43,34,28,34,37,41,43
Hornsby,93,93,84,69,56,57,39,76,46,49
Hunters Hill,4,7,7,5,8,4,7,6,9,5
Inner West,241,252,242,195,186,193,210,202,217,199
Inverell,58,70,59,58,56,40,47,33,46,23
Junee,12,12,14,10,6,13,9,11,6,8
Kempsey,66,81,75,61,48,46,54,51,59,38
Kiama,33,32,19,15,18,17,18,33,11,11
Ku-Ring-Gai,44,27,36,35,13,25,20,21,29,28
Kyogle,27,31,8,16,18,8,7,10,5,13
Lachlan,21,24,19,18,19,22,30,20,16,12
Lake Macquarie,324,284,229,252,200,213,147,165,153,215
Lane Cove,20,19,12,16,11,12,9,12,20,7
Leeton,32,47,28,29,35,25,22,25,22,18
Lismore,117,102,95,97,87,70,78,69,78,76
Lithgow,67,53,49,38,47,33,22,32,45,32
Liverpool,240,224,229,197,152,158,148,155,147,156
Liverpool Plains,13,23,18,16,8,11,5,6,18,17
Lockhart,5,3,2,1,5,3,4,1,6,1
Lord Howe Island,0,0,0,0,0,0,1,3,1,1
Maitland,154,164,122,136,88,65,68,86,74,118
Mid-Coast,216,176,170,166,132,140,120,101,127,125
Mid-Western Regional,73,68,78,65,67,53,64,44,47,45
Moree Plains,88,83,78,76,79,71,54,50,51,49
Mosman,13,14,9,11,12,9,13,7,7,12
Murray River,6,13,9,11,11,17,11,12,8,11
Murrumbidgee,6,6,9,5,7,5,10,6,7,10
Muswellbrook,50,48,33,29,30,27,29,25,32,28
Nambucca,55,58,28,29,41,25,18,32,26,40
Narrabri,35,37,24,36,34,44,33,26,33,26
Narrandera,19,17,22,21,9,10,4,15,7,8
Narromine,20,26,27,14,23,24,19,11,10,11
Newcastle,567,585,527,486,412,407,386,387,353,371
North Sydney,92,69,81,83,71,54,63,61,80,45
Northern Beaches,397,392,369,347,343,290,273,260,239,225
Oberon,8,9,8,6,8,6,4,3,5,4
Orange,129,123,129,148,119,108,84,79,75,75
Parkes,40,44,46,38,34,37,29,29,37,33
Parramatta,299,282,280,289,280,232,243,204,195,219
Penrith,384,434,345,296,271,261,260,250,261,240
Port Macquarie-Hastings,196,175,174,156,136,123,111,95,63,71
Port Stephens,138,132,115,98,106,93,79,84,64,88
Prisons Etc,59,59,66,45,44,63,57,64,80,76
Queanbeyan-Palerang Regional,94,80,76,43,43,63,41,43,39,45
Randwick,244,215,209,168,174,120,150,159,151,177
Richmond Valley,99,62,64,63,44,51,50,41,36,44
Ryde,80,44,52,44,63,56,44,63,64,42
Shellharbour,130,108,86,64,83,54,62,62,55,39
Shoalhaven,223,247,265,174,141,158,125,139,122,143
Singleton,49,40,39,31,41,30,20,20,31,30
Snowy Monaro Regional,52,36,46,40,44,33,24,27,19,15
Snowy Valleys,40,33,25,25,21,20,22,26,23,23
Strathfield,44,37,32,26,20,22,28,32,43,35
Sutherland Shire,374,354,311,260,247,211,217,259,220,196
Sydney,1863,1887,1795,1653,1594,1283,1336,1359,1343,1353
Tamworth Regional,176,204,191,191,177,141,109,116,160,102
Temora,20,15,15,9,19,6,4,9,6,12
Tenterfield,10,19,10,10,13,15,3,3,11,8
The Hills Shire,162,137,107,87,91,68,71,70,78,69
Tweed,116,99,93,105,106,103,107,68,70,72
Unincorporated Far West,1,0,0,1,2,0,0,1,1,0
Upper Hunter Shire,23,28,16,21,24,12,9,16,16,11
Upper Lachlan Shire,6,5,7,9,6,8,10,4,3,5
Uralla,12,8,10,13,11,8,3,6,4,5
Wagga Wagga,196,157,171,152,144,127,125,126,116,123
Walcha,4,5,2,2,11,5,4,3,8,8
