 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Sydney LHD, 2001-2002, Males, Sydney LHD,71.1,32.3,27.1,38.2
 Sydney LHD, 2001-2002, Males, Rest of NSW,856.5,30.8,29.3,32.3
 Sydney LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Sydney LHD, 2001-2002, Females, Sydney LHD,65.9,22.5,18.8,26.8
 Sydney LHD, 2001-2002, Females, Rest of NSW,822.2,21.7,20.7,22.8
 Sydney LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Sydney LHD, 2001-2002, Persons, Sydney LHD,137,27.8,24.6,31.3
 Sydney LHD, 2001-2002, Persons, Rest of NSW,1678.7,26.8,25.9,27.7
 Sydney LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Sydney LHD, 2002-2003, Males, Sydney LHD,72.8,33.5,28.1,39.6
 Sydney LHD, 2002-2003, Males, Rest of NSW,834.2,29.5,28.1,30.9
 Sydney LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Sydney LHD, 2002-2003, Females, Sydney LHD,64.2,21.7,18,25.8
 Sydney LHD, 2002-2003, Females, Rest of NSW,845,21.8,20.7,22.9
 Sydney LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Sydney LHD, 2002-2003, Persons, Sydney LHD,137,28.2,24.9,31.7
 Sydney LHD, 2002-2003, Persons, Rest of NSW,1679.2,26.2,25.3,27.1
 Sydney LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Sydney LHD, 2003-2004, Males, Sydney LHD,75,35.5,29.8,41.9
 Sydney LHD, 2003-2004, Males, Rest of NSW,789.4,27.4,26.1,28.8
 Sydney LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Sydney LHD, 2003-2004, Females, Sydney LHD,60.6,20.2,16.7,24.2
 Sydney LHD, 2003-2004, Females, Rest of NSW,833.9,21,20,22.1
 Sydney LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Sydney LHD, 2003-2004, Persons, Sydney LHD,135.6,28.1,24.8,31.6
 Sydney LHD, 2003-2004, Persons, Rest of NSW,1623.3,24.8,24,25.7
 Sydney LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Sydney LHD, 2004-2005, Males, Sydney LHD,67.5,31.7,26.3,37.7
 Sydney LHD, 2004-2005, Males, Rest of NSW,767.9,26.3,24.9,27.6
 Sydney LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Sydney LHD, 2004-2005, Females, Sydney LHD,57,19.1,15.7,23
 Sydney LHD, 2004-2005, Females, Rest of NSW,803.1,19.8,18.8,20.8
 Sydney LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Sydney LHD, 2004-2005, Persons, Sydney LHD,124.5,25.4,22.3,28.7
 Sydney LHD, 2004-2005, Persons, Rest of NSW,1571.1,23.5,22.7,24.4
 Sydney LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Sydney LHD, 2005-2006, Males, Sydney LHD,66.5,28.9,24.1,34.4
 Sydney LHD, 2005-2006, Males, Rest of NSW,780,26.2,24.9,27.6
 Sydney LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Sydney LHD, 2005-2006, Females, Sydney LHD,53.5,17.9,14.6,21.7
 Sydney LHD, 2005-2006, Females, Rest of NSW,786.9,18.9,18,19.9
 Sydney LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Sydney LHD, 2005-2006, Persons, Sydney LHD,119.9,23.5,20.6,26.7
 Sydney LHD, 2005-2006, Persons, Rest of NSW,1566.9,23,22.2,23.8
 Sydney LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Sydney LHD, 2006-2007, Males, Sydney LHD,66.5,27.6,23,32.8
 Sydney LHD, 2006-2007, Males, Rest of NSW,788.1,25.9,24.6,27.2
 Sydney LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Sydney LHD, 2006-2007, Females, Sydney LHD,55.9,18.3,15,22.1
 Sydney LHD, 2006-2007, Females, Rest of NSW,784.1,18.4,17.5,19.3
 Sydney LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Sydney LHD, 2006-2007, Persons, Sydney LHD,122.3,23.2,20.4,26.3
 Sydney LHD, 2006-2007, Persons, Rest of NSW,1572.2,22.5,21.7,23.3
 Sydney LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Sydney LHD, 2007-2008, Males, Sydney LHD,62.8,25.6,21.2,30.5
 Sydney LHD, 2007-2008, Males, Rest of NSW,774.7,24.7,23.5,26
 Sydney LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Sydney LHD, 2007-2008, Females, Sydney LHD,56.1,17.8,14.6,21.5
 Sydney LHD, 2007-2008, Females, Rest of NSW,784.6,17.8,16.9,18.7
 Sydney LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Sydney LHD, 2007-2008, Persons, Sydney LHD,119,22,19.3,25
 Sydney LHD, 2007-2008, Persons, Rest of NSW,1559.3,21.6,20.9,22.4
 Sydney LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Sydney LHD, 2008-2009, Males, Sydney LHD,63.1,24.9,20.7,29.7
 Sydney LHD, 2008-2009, Males, Rest of NSW,790.3,24.5,23.3,25.8
 Sydney LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Sydney LHD, 2008-2009, Females, Sydney LHD,51.5,16,13,19.5
 Sydney LHD, 2008-2009, Females, Rest of NSW,779.3,17.2,16.4,18.1
 Sydney LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Sydney LHD, 2008-2009, Persons, Sydney LHD,114.6,20.7,18.1,23.6
 Sydney LHD, 2008-2009, Persons, Rest of NSW,1569.6,21.2,20.5,22
 Sydney LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Sydney LHD, 2009-2010, Males, Sydney LHD,64.9,24.8,20.7,29.5
 Sydney LHD, 2009-2010, Males, Rest of NSW,811.1,24.4,23.3,25.7
 Sydney LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Sydney LHD, 2009-2010, Females, Sydney LHD,47.7,14.6,11.7,17.8
 Sydney LHD, 2009-2010, Females, Rest of NSW,771.7,16.6,15.8,17.5
 Sydney LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Sydney LHD, 2009-2010, Persons, Sydney LHD,112.7,19.8,17.3,22.6
 Sydney LHD, 2009-2010, Persons, Rest of NSW,1582.8,20.9,20.1,21.6
 Sydney LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Sydney LHD, 2010-2011, Males, Sydney LHD,63.8,24,19.9,28.6
 Sydney LHD, 2010-2011, Males, Rest of NSW,820.2,24,22.9,25.2
 Sydney LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Sydney LHD, 2010-2011, Females, Sydney LHD,50.1,15,12.1,18.3
 Sydney LHD, 2010-2011, Females, Rest of NSW,774.5,16.2,15.4,17.1
 Sydney LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Sydney LHD, 2010-2011, Persons, Sydney LHD,113.9,19.7,17.2,22.4
 Sydney LHD, 2010-2011, Persons, Rest of NSW,1594.7,20.4,19.7,21.2
 Sydney LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Sydney LHD, 2011-2012, Males, Sydney LHD,63.3,23.4,19.5,27.9
 Sydney LHD, 2011-2012, Males, Rest of NSW,827.3,23.7,22.6,24.9
 Sydney LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Sydney LHD, 2011-2012, Females, Sydney LHD,52,15.4,12.5,18.7
 Sydney LHD, 2011-2012, Females, Rest of NSW,771.3,15.8,15,16.7
 Sydney LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Sydney LHD, 2011-2012, Persons, Sydney LHD,115.3,19.6,17.2,22.4
 Sydney LHD, 2011-2012, Persons, Rest of NSW,1598.6,20,19.3,20.8
 Sydney LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Sydney LHD, 2012-2013, Males, Sydney LHD,64.6,23.2,19.3,27.6
 Sydney LHD, 2012-2013, Males, Rest of NSW,842.3,23.6,22.5,24.8
 Sydney LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Sydney LHD, 2012-2013, Females, Sydney LHD,46.8,13.5,10.9,16.6
 Sydney LHD, 2012-2013, Females, Rest of NSW,748.7,15.1,14.3,15.9
 Sydney LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Sydney LHD, 2012-2013, Persons, Sydney LHD,111.5,18.4,16.1,21
 Sydney LHD, 2012-2013, Persons, Rest of NSW,1591,19.6,18.9,20.3
 Sydney LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Sydney LHD, 2013-2014, Males, Sydney LHD,68.4,23.6,19.8,27.9
 Sydney LHD, 2013-2014, Males, Rest of NSW,878.4,24.1,22.9,25.2
 Sydney LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Sydney LHD, 2013-2014, Females, Sydney LHD,45.5,12.7,10.2,15.7
 Sydney LHD, 2013-2014, Females, Rest of NSW,751.6,14.8,14,15.6
 Sydney LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Sydney LHD, 2013-2014, Persons, Sydney LHD,113.8,18.2,15.9,20.8
 Sydney LHD, 2013-2014, Persons, Rest of NSW,1630,19.6,18.9,20.3
 Sydney LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Sydney LHD, 2014-2015, Males, Sydney LHD,68.4,23.1,19.3,27.3
 Sydney LHD, 2014-2015, Males, Rest of NSW,911.6,24.4,23.3,25.6
 Sydney LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Sydney LHD, 2014-2015, Females, Sydney LHD,45.6,12.5,10,15.4
 Sydney LHD, 2014-2015, Females, Rest of NSW,763.9,14.8,14,15.6
 Sydney LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Sydney LHD, 2014-2015, Persons, Sydney LHD,114,17.9,15.6,20.4
 Sydney LHD, 2014-2015, Persons, Rest of NSW,1675.5,19.8,19.1,20.5
 Sydney LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Sydney LHD, 2015-2016, Males, Sydney LHD,66.5,22,18.4,26.1
 Sydney LHD, 2015-2016, Males, Rest of NSW,928.2,24.3,23.2,25.4
 Sydney LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Sydney LHD, 2015-2016, Females, Sydney LHD,45,12,9.6,14.9
 Sydney LHD, 2015-2016, Females, Rest of NSW,753.7,14.4,13.7,15.2
 Sydney LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Sydney LHD, 2015-2016, Persons, Sydney LHD,111.5,17,14.8,19.4
 Sydney LHD, 2015-2016, Persons, Rest of NSW,1681.9,19.5,18.8,20.1
 Sydney LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 South Western Sydney LHD, 2001-2002, Males, South Western Sydney LHD,94.6,30.9,26.4,35.9
 South Western Sydney LHD, 2001-2002, Males, Rest of NSW,833,30.9,29.4,32.4
 South Western Sydney LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 South Western Sydney LHD, 2001-2002, Females, South Western Sydney LHD,78.8,22.7,19.3,26.6
 South Western Sydney LHD, 2001-2002, Females, Rest of NSW,809.3,21.7,20.6,22.8
 South Western Sydney LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 South Western Sydney LHD, 2001-2002, Persons, South Western Sydney LHD,173.4,27.4,24.6,30.5
 South Western Sydney LHD, 2001-2002, Persons, Rest of NSW,1642.3,26.8,25.9,27.7
 South Western Sydney LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 South Western Sydney LHD, 2002-2003, Males, South Western Sydney LHD,93.6,30.2,25.8,35.1
 South Western Sydney LHD, 2002-2003, Males, Rest of NSW,813.3,29.6,28.2,31.1
 South Western Sydney LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 South Western Sydney LHD, 2002-2003, Females, South Western Sydney LHD,79.9,22.4,19,26.1
 South Western Sydney LHD, 2002-2003, Females, Rest of NSW,829.4,21.7,20.7,22.8
 South Western Sydney LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 South Western Sydney LHD, 2002-2003, Persons, South Western Sydney LHD,173.5,26.8,24,29.8
 South Western Sydney LHD, 2002-2003, Persons, Rest of NSW,1642.7,26.2,25.4,27.2
 South Western Sydney LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 South Western Sydney LHD, 2003-2004, Males, South Western Sydney LHD,85.5,27.1,23,31.7
 South Western Sydney LHD, 2003-2004, Males, Rest of NSW,778.8,28,26.6,29.4
 South Western Sydney LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 South Western Sydney LHD, 2003-2004, Females, South Western Sydney LHD,78.3,21.4,18.2,25
 South Western Sydney LHD, 2003-2004, Females, Rest of NSW,816.3,20.9,19.9,22
 South Western Sydney LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 South Western Sydney LHD, 2003-2004, Persons, South Western Sydney LHD,163.8,24.9,22.2,27.7
 South Western Sydney LHD, 2003-2004, Persons, Rest of NSW,1595.1,25,24.2,25.9
 South Western Sydney LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 South Western Sydney LHD, 2004-2005, Males, South Western Sydney LHD,82,25.5,21.6,29.9
 South Western Sydney LHD, 2004-2005, Males, Rest of NSW,753.4,26.6,25.3,28
 South Western Sydney LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 South Western Sydney LHD, 2004-2005, Females, South Western Sydney LHD,75.1,19.9,16.8,23.3
 South Western Sydney LHD, 2004-2005, Females, Rest of NSW,785,19.7,18.7,20.7
 South Western Sydney LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 South Western Sydney LHD, 2004-2005, Persons, South Western Sydney LHD,157.1,23.3,20.7,26
 South Western Sydney LHD, 2004-2005, Persons, Rest of NSW,1538.4,23.7,22.9,24.5
 South Western Sydney LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 South Western Sydney LHD, 2005-2006, Males, South Western Sydney LHD,85,25.8,21.9,30.1
 South Western Sydney LHD, 2005-2006, Males, Rest of NSW,761.5,26.4,25.1,27.8
 South Western Sydney LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 South Western Sydney LHD, 2005-2006, Females, South Western Sydney LHD,73.7,18.8,15.9,22.2
 South Western Sydney LHD, 2005-2006, Females, Rest of NSW,766.7,18.8,17.9,19.8
 South Western Sydney LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 South Western Sydney LHD, 2005-2006, Persons, South Western Sydney LHD,158.7,22.7,20.3,25.4
 South Western Sydney LHD, 2005-2006, Persons, Rest of NSW,1528.1,23,22.2,23.9
 South Western Sydney LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 South Western Sydney LHD, 2006-2007, Males, South Western Sydney LHD,87,25.8,22,30.1
 South Western Sydney LHD, 2006-2007, Males, Rest of NSW,767.5,26,24.7,27.3
 South Western Sydney LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 South Western Sydney LHD, 2006-2007, Females, South Western Sydney LHD,75,18.5,15.6,21.7
 South Western Sydney LHD, 2006-2007, Females, Rest of NSW,765,18.4,17.4,19.3
 South Western Sydney LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 South Western Sydney LHD, 2006-2007, Persons, South Western Sydney LHD,162,22.5,20.1,25.1
 South Western Sydney LHD, 2006-2007, Persons, Rest of NSW,1532.5,22.5,21.7,23.4
 South Western Sydney LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 South Western Sydney LHD, 2007-2008, Males, South Western Sydney LHD,85.6,24.8,21.1,28.9
 South Western Sydney LHD, 2007-2008, Males, Rest of NSW,751.9,24.8,23.5,26
 South Western Sydney LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 South Western Sydney LHD, 2007-2008, Females, South Western Sydney LHD,74.1,17.5,14.8,20.6
 South Western Sydney LHD, 2007-2008, Females, Rest of NSW,766.6,17.8,16.9,18.8
 South Western Sydney LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 South Western Sydney LHD, 2007-2008, Persons, South Western Sydney LHD,159.7,21.4,19.1,23.8
 South Western Sydney LHD, 2007-2008, Persons, Rest of NSW,1518.5,21.7,20.9,22.5
 South Western Sydney LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 South Western Sydney LHD, 2008-2009, Males, South Western Sydney LHD,92.4,25.7,22.1,29.8
 South Western Sydney LHD, 2008-2009, Males, Rest of NSW,761,24.4,23.2,25.7
 South Western Sydney LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 South Western Sydney LHD, 2008-2009, Females, South Western Sydney LHD,72.7,16.6,14,19.5
 South Western Sydney LHD, 2008-2009, Females, Rest of NSW,758,17.2,16.3,18.1
 South Western Sydney LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 South Western Sydney LHD, 2008-2009, Persons, South Western Sydney LHD,165.1,21.3,19,23.7
 South Western Sydney LHD, 2008-2009, Persons, Rest of NSW,1519,21.2,20.4,22
 South Western Sydney LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 South Western Sydney LHD, 2009-2010, Males, South Western Sydney LHD,91.4,24.4,20.9,28.2
 South Western Sydney LHD, 2009-2010, Males, Rest of NSW,784.7,24.5,23.3,25.7
 South Western Sydney LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 South Western Sydney LHD, 2009-2010, Females, South Western Sydney LHD,72.6,15.9,13.4,18.7
 South Western Sydney LHD, 2009-2010, Females, Rest of NSW,746.8,16.6,15.7,17.5
 South Western Sydney LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 South Western Sydney LHD, 2009-2010, Persons, South Western Sydney LHD,164,20.4,18.2,22.7
 South Western Sydney LHD, 2009-2010, Persons, Rest of NSW,1531.5,20.8,20.1,21.6
 South Western Sydney LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 South Western Sydney LHD, 2010-2011, Males, South Western Sydney LHD,88.1,22.8,19.5,26.5
 South Western Sydney LHD, 2010-2011, Males, Rest of NSW,796,24.1,22.9,25.3
 South Western Sydney LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 South Western Sydney LHD, 2010-2011, Females, South Western Sydney LHD,74.2,15.6,13.2,18.4
