 Local Health Districts, year, State comparison, Sex, Number," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Sydney LHD, 2001-02, Sydney LHD, Males,"2,057",820.8,785.1,857.8
 Sydney LHD, 2001-02, Sydney LHD, Females,"1,184",452.8,427,479.6
 Sydney LHD, 2001-02, Sydney LHD, Persons,"3,241",636,614.1,658.5
 Sydney LHD, 2001-02, Rest of NSW, Males,"21,856",743,733.2,753
 Sydney LHD, 2001-02, Rest of NSW, Females,"13,298",409.1,402.2,416.2
 Sydney LHD, 2001-02, Rest of NSW, Persons,"35,154",576.9,570.9,583
 Sydney LHD, 2001-02, Total NSW, Males,"23,913",747.3,737.9,756.9
 Sydney LHD, 2001-02, Total NSW, Females,"14,483",411.8,405.1,418.6
 Sydney LHD, 2001-02, Total NSW, Persons,"38,396",580,574.2,585.9
 Sydney LHD, 2002-03, Sydney LHD, Males,"1,885",766.8,731.8,803.1
 Sydney LHD, 2002-03, Sydney LHD, Females,"1,007",378.7,355.4,403.2
 Sydney LHD, 2002-03, Sydney LHD, Persons,"2,892",569,548.2,590.3
 Sydney LHD, 2002-03, Rest of NSW, Males,"19,083",642,632.9,651.2
 Sydney LHD, 2002-03, Rest of NSW, Females,"12,678",383.3,376.6,390.1
 Sydney LHD, 2002-03, Rest of NSW, Persons,"31,761",513.1,507.5,518.8
 Sydney LHD, 2002-03, Total NSW, Males,"20,969",650.2,641.4,659.1
 Sydney LHD, 2002-03, Total NSW, Females,"13,685",382.7,376.3,389.2
 Sydney LHD, 2002-03, Total NSW, Persons,"34,654",516.5,511,521.9
 Sydney LHD, 2003-04, Sydney LHD, Males,"1,622",660.8,628,694.9
 Sydney LHD, 2003-04, Sydney LHD, Females,999,374.5,351.4,398.7
 Sydney LHD, 2003-04, Sydney LHD, Persons,"2,620",513.4,493.8,533.7
 Sydney LHD, 2003-04, Rest of NSW, Males,"19,635",655,645.8,664.3
 Sydney LHD, 2003-04, Rest of NSW, Females,"13,320",398.1,391.3,404.9
