 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, Sydney LHD, 2002-2003, Never,676,19.8,16.6,23.1
 Males, Sydney LHD, 2002-2003, Less than weekly,676,18.5,15.3,21.7
 Males, Sydney LHD, 2002-2003, Weekly,676,47.2,43.1,51.3
 Males, Sydney LHD, 2002-2003, Daily,676,14.4,11.7,17.2
 Males, Sydney LHD, 2003-2004, Never,588,20.6,17,24.1
 Males, Sydney LHD, 2003-2004, Less than weekly,588,21.3,17.7,25
 Males, Sydney LHD, 2003-2004, Weekly,588,45.2,40.9,49.5
 Males, Sydney LHD, 2003-2004, Daily,588,12.9,10.1,15.7
 Males, Sydney LHD, 2004-2005, Never,516,23.7,19.8,27.6
 Males, Sydney LHD, 2004-2005, Less than weekly,516,23,19,26.9
 Males, Sydney LHD, 2004-2005, Weekly,516,43.6,39,48.2
 Males, Sydney LHD, 2004-2005, Daily,516,9.8,7.2,12.3
 Males, Sydney LHD, 2005-2006, Never,456,25.9,21.5,30.3
 Males, Sydney LHD, 2005-2006, Less than weekly,456,23.3,18.9,27.8
 Males, Sydney LHD, 2005-2006, Weekly,456,41.6,36.6,46.6
 Males, Sydney LHD, 2005-2006, Daily,456,9.2,6.5,11.8
 Males, Sydney LHD, 2006-2007, Never,375,22.8,18,27.6
 Males, Sydney LHD, 2006-2007, Less than weekly,375,26.8,21.6,32
 Males, Sydney LHD, 2006-2007, Weekly,375,40.3,34.8,45.9
 Males, Sydney LHD, 2006-2007, Daily,375,10,6.9,13.1
 Males, Sydney LHD, 2007-2008, Never,402,21.4,17,25.9
 Males, Sydney LHD, 2007-2008, Less than weekly,402,26.7,21.5,32
 Males, Sydney LHD, 2007-2008, Weekly,402,42.3,36.6,47.9
 Males, Sydney LHD, 2007-2008, Daily,402,9.6,6.7,12.4
 Males, Sydney LHD, 2008-2009, Never,465,23,18.7,27.4
 Males, Sydney LHD, 2008-2009, Less than weekly,465,20.3,15.7,24.8
 Males, Sydney LHD, 2008-2009, Weekly,465,45.7,40.3,51
 Males, Sydney LHD, 2008-2009, Daily,465,11,8.2,13.9
 Males, Sydney LHD, 2009-2010, Never,471,27.9,22.6,33.2
 Males, Sydney LHD, 2009-2010, Less than weekly,471,18.2,13.7,22.6
 Males, Sydney LHD, 2009-2010, Weekly,471,42.5,36.9,48
 Males, Sydney LHD, 2009-2010, Daily,471,11.5,8,15
 Males, Sydney LHD, 2010-2011, Never,577,31.6,26.1,37
 Males, Sydney LHD, 2010-2011, Less than weekly,577,20.1,15.6,24.5
 Males, Sydney LHD, 2010-2011, Weekly,577,36.9,31.7,42.1
 Males, Sydney LHD, 2010-2011, Daily,577,11.5,7.9,15.1
 Males, Sydney LHD, 2011-2012, Never,758,26.9,22.7,31
 Males, Sydney LHD, 2011-2012, Less than weekly,758,21.3,17.6,24.9
 Males, Sydney LHD, 2011-2012, Weekly,758,41.9,37.3,46.6
 Males, Sydney LHD, 2011-2012, Daily,758,9.9,7.1,12.8
 Males, Sydney LHD, 2012-2013, Never,826,25.4,21.7,29.2
 Males, Sydney LHD, 2012-2013, Less than weekly,826,20.6,17.4,23.8
 Males, Sydney LHD, 2012-2013, Weekly,826,47,42.6,51.4
 Males, Sydney LHD, 2012-2013, Daily,826,7,4.7,9.3
