Time,Value,MEASURE,Description
2012,17.2,ERP_6,Persons - 0-14 years (%)
2013,17.1,ERP_6,Persons - 0-14 years (%)
2014,16.8,ERP_6,Persons - 0-14 years (%)
2015,16.6,ERP_6,Persons - 0-14 years (%)
2016,16.3,ERP_6,Persons - 0-14 years (%)
2017,16.1,ERP_6,Persons - 0-14 years (%)
2012,12.7,ERP_7,Persons - 15-24 years (%)
2013,12.9,ERP_7,Persons - 15-24 years (%)
2014,13,ERP_7,Persons - 15-24 years (%)
2015,13.1,ERP_7,Persons - 15-24 years (%)
2016,13.1,ERP_7,Persons - 15-24 years (%)
2017,13,ERP_7,Persons - 15-24 years (%)
2012,17.9,ERP_8,Persons - 25-34 years (%)
2013,18.3,ERP_8,Persons - 25-34 years (%)
2014,18.9,ERP_8,Persons - 25-34 years (%)
2015,19.5,ERP_8,Persons - 25-34 years (%)
2016,20.1,ERP_8,Persons - 25-34 years (%)
2017,20.8,ERP_8,Persons - 25-34 years (%)
2012,15,ERP_9,Persons - 35-44 years (%)
2013,14.8,ERP_9,Persons - 35-44 years (%)
2014,14.7,ERP_9,Persons - 35-44 years (%)
2015,14.6,ERP_9,Persons - 35-44 years (%)
2016,14.5,ERP_9,Persons - 35-44 years (%)
2017,14.5,ERP_9,Persons - 35-44 years (%)
2012,12.3,ERP_10,Persons - 45-54 years (%)
2013,12.2,ERP_10,Persons - 45-54 years (%)
2014,12.2,ERP_10,Persons - 45-54 years (%)
2015,12,ERP_10,Persons - 45-54 years (%)
2016,12,ERP_10,Persons - 45-54 years (%)
2017,11.8,ERP_10,Persons - 45-54 years (%)
2012,10.2,ERP_11,Persons - 55-64 years (%)
2013,10.1,ERP_11,Persons - 55-64 years (%)
2014,9.9,ERP_11,Persons - 55-64 years (%)
2015,9.9,ERP_11,Persons - 55-64 years (%)
2016,9.8,ERP_11,Persons - 55-64 years (%)
2017,9.7,ERP_11,Persons - 55-64 years (%)
2012,7.5,ERP_12,Persons - 65-74 years (%)
2013,7.5,ERP_12,Persons - 65-74 years (%)
2014,7.5,ERP_12,Persons - 65-74 years (%)
2015,7.4,ERP_12,Persons - 65-74 years (%)
2016,7.4,ERP_12,Persons - 65-74 years (%)
2017,7.3,ERP_12,Persons - 65-74 years (%)
2012,5,ERP_13,Persons - 75-84 years (%)
2013,4.9,ERP_13,Persons - 75-84 years (%)
2014,4.9,ERP_13,Persons - 75-84 years (%)
2015,4.8,ERP_13,Persons - 75-84 years (%)
2016,4.7,ERP_13,Persons - 75-84 years (%)
2017,4.6,ERP_13,Persons - 75-84 years (%)
2012,2.2,ERP_14,Persons - 85 years and over (%)
2013,2.2,ERP_14,Persons - 85 years and over (%)
2014,2.2,ERP_14,Persons - 85 years and over (%)
2015,2.2,ERP_14,Persons - 85 years and over (%)
2016,2.2,ERP_14,Persons - 85 years and over (%)
2017,2.2,ERP_14,Persons - 85 years and over (%)
2012,5011,ERP_M_2,Males - 0-4 years (no.)
2013,5127,ERP_M_2,Males - 0-4 years (no.)
2014,5179,ERP_M_2,Males - 0-4 years (no.)
2015,5266,ERP_M_2,Males - 0-4 years (no.)
2016,5341,ERP_M_2,Males - 0-4 years (no.)
2017,5434,ERP_M_2,Males - 0-4 years (no.)
2012,4199,ERP_M_3,Males - 5-9 years (no.)
2013,4297,ERP_M_3,Males - 5-9 years (no.)
2014,4413,ERP_M_3,Males - 5-9 years (no.)
2015,4452,ERP_M_3,Males - 5-9 years (no.)
2016,4519,ERP_M_3,Males - 5-9 years (no.)
2017,4631,ERP_M_3,Males - 5-9 years (no.)
2012,3829,ERP_M_4,Males - 10-14 years (no.)
2013,3808,ERP_M_4,Males - 10-14 years (no.)
2014,3789,ERP_M_4,Males - 10-14 years (no.)
2015,3854,ERP_M_4,Males - 10-14 years (no.)
2016,3981,ERP_M_4,Males - 10-14 years (no.)
2017,4045,ERP_M_4,Males - 10-14 years (no.)
2012,4108,ERP_M_5,Males - 15-19 years (no.)
2013,4272,ERP_M_5,Males - 15-19 years (no.)
2014,4371,ERP_M_5,Males - 15-19 years (no.)
2015,4370,ERP_M_5,Males - 15-19 years (no.)
2016,4378,ERP_M_5,Males - 15-19 years (no.)
2017,4424,ERP_M_5,Males - 15-19 years (no.)
2012,5479,ERP_M_6,Males - 20-24 years (no.)
2013,5690,ERP_M_6,Males - 20-24 years (no.)
2014,5925,ERP_M_6,Males - 20-24 years (no.)
2015,6200,ERP_M_6,Males - 20-24 years (no.)
2016,6605,ERP_M_6,Males - 20-24 years (no.)
2017,6914,ERP_M_6,Males - 20-24 years (no.)
2012,7042,ERP_M_7,Males - 25-29 years (no.)
2013,7348,ERP_M_7,Males - 25-29 years (no.)
2014,7732,ERP_M_7,Males - 25-29 years (no.)
2015,8204,ERP_M_7,Males - 25-29 years (no.)
2016,8659,ERP_M_7,Males - 25-29 years (no.)
2017,9177,ERP_M_7,Males - 25-29 years (no.)
2012,6536,ERP_M_8,Males - 30-34 years (no.)
2013,6830,ERP_M_8,Males - 30-34 years (no.)
2014,7251,ERP_M_8,Males - 30-34 years (no.)
2015,7711,ERP_M_8,Males - 30-34 years (no.)
2016,8247,ERP_M_8,Males - 30-34 years (no.)
2017,8836,ERP_M_8,Males - 30-34 years (no.)
2012,5782,ERP_M_9,Males - 35-39 years (no.)
2013,5821,ERP_M_9,Males - 35-39 years (no.)
2014,5912,ERP_M_9,Males - 35-39 years (no.)
2015,6118,ERP_M_9,Males - 35-39 years (no.)
2016,6515,ERP_M_9,Males - 35-39 years (no.)
2017,6914,ERP_M_9,Males - 35-39 years (no.)
2012,5359,ERP_M_10,Males - 40-44 years (no.)
2013,5504,ERP_M_10,Males - 40-44 years (no.)
2014,5577,ERP_M_10,Males - 40-44 years (no.)
2015,5639,ERP_M_10,Males - 40-44 years (no.)
2016,5628,ERP_M_10,Males - 40-44 years (no.)
2017,5649,ERP_M_10,Males - 40-44 years (no.)
2012,4737,ERP_M_11,Males - 45-49 years (no.)
2013,4685,ERP_M_11,Males - 45-49 years (no.)
2014,4715,ERP_M_11,Males - 45-49 years (no.)
2015,4762,ERP_M_11,Males - 45-49 years (no.)
2016,5016,ERP_M_11,Males - 45-49 years (no.)
2017,5254,ERP_M_11,Males - 45-49 years (no.)
2012,4373,ERP_M_12,Males - 50-54 years (no.)
2013,4543,ERP_M_12,Males - 50-54 years (no.)
2014,4651,ERP_M_12,Males - 50-54 years (no.)
2015,4699,ERP_M_12,Males - 50-54 years (no.)
2016,4754,ERP_M_12,Males - 50-54 years (no.)
2017,4641,ERP_M_12,Males - 50-54 years (no.)
2012,3876,ERP_M_13,Males - 55-59 years (no.)
2013,3873,ERP_M_13,Males - 55-59 years (no.)
2014,3927,ERP_M_13,Males - 55-59 years (no.)
2015,4063,ERP_M_13,Males - 55-59 years (no.)
2016,4178,ERP_M_13,Males - 55-59 years (no.)
2017,4351,ERP_M_13,Males - 55-59 years (no.)
2012,3597,ERP_M_14,Males - 60-64 years (no.)
2013,3596,ERP_M_14,Males - 60-64 years (no.)
2014,3626,ERP_M_14,Males - 60-64 years (no.)
2015,3597,ERP_M_14,Males - 60-64 years (no.)
2016,3621,ERP_M_14,Males - 60-64 years (no.)
2017,3710,ERP_M_14,Males - 60-64 years (no.)
2012,2981,ERP_M_15,Males - 65-69 years (no.)
2013,3123,ERP_M_15,Males - 65-69 years (no.)
2014,3184,ERP_M_15,Males - 65-69 years (no.)
2015,3268,ERP_M_15,Males - 65-69 years (no.)
2016,3367,ERP_M_15,Males - 65-69 years (no.)
2017,3378,ERP_M_15,Males - 65-69 years (no.)
2012,2342,ERP_M_16,Males - 70-74 years (no.)
2013,2315,ERP_M_16,Males - 70-74 years (no.)
2014,2388,ERP_M_16,Males - 70-74 years (no.)
2015,2403,ERP_M_16,Males - 70-74 years (no.)
2016,2513,ERP_M_16,Males - 70-74 years (no.)
2017,2664,ERP_M_16,Males - 70-74 years (no.)
2012,1942,ERP_M_17,Males - 75-79 years (no.)
2013,1978,ERP_M_17,Males - 75-79 years (no.)
2014,1942,ERP_M_17,Males - 75-79 years (no.)
2015,1996,ERP_M_17,Males - 75-79 years (no.)
2016,1978,ERP_M_17,Males - 75-79 years (no.)
2017,1977,ERP_M_17,Males - 75-79 years (no.)
2012,1424,ERP_M_18,Males - 80-84 years (no.)
2013,1416,ERP_M_18,Males - 80-84 years (no.)
2014,1452,ERP_M_18,Males - 80-84 years (no.)
2015,1460,ERP_M_18,Males - 80-84 years (no.)
2016,1530,ERP_M_18,Males - 80-84 years (no.)
2017,1585,ERP_M_18,Males - 80-84 years (no.)
2012,1091,ERP_M_19,Males - 85 and over (no.)
2013,1140,ERP_M_19,Males - 85 and over (no.)
2014,1213,ERP_M_19,Males - 85 and over (no.)
2015,1317,ERP_M_19,Males - 85 and over (no.)
2016,1402,ERP_M_19,Males - 85 and over (no.)
2017,1453,ERP_M_19,Males - 85 and over (no.)
2012,73708,ERP_M_20,Males - Total (no.)
2013,75366,ERP_M_20,Males - Total (no.)
2014,77247,ERP_M_20,Males - Total (no.)
2015,79379,ERP_M_20,Males - Total (no.)
2016,82232,ERP_M_20,Males - Total (no.)
2017,85037,ERP_M_20,Males - Total (no.)
2012,4849,ERP_F_2,Females - 0-4 years (no.)
2013,4995,ERP_F_2,Females - 0-4 years (no.)
2014,4992,ERP_F_2,Females - 0-4 years (no.)
2015,5027,ERP_F_2,Females - 0-4 years (no.)
2016,4996,ERP_F_2,Females - 0-4 years (no.)
2017,5046,ERP_F_2,Females - 0-4 years (no.)
2012,3925,ERP_F_3,Females - 5-9 years (no.)
2013,3963,ERP_F_3,Females - 5-9 years (no.)
2014,4111,ERP_F_3,Females - 5-9 years (no.)
2015,4188,ERP_F_3,Females - 5-9 years (no.)
2016,4339,ERP_F_3,Females - 5-9 years (no.)
2017,4447,ERP_F_3,Females - 5-9 years (no.)
2012,3599,ERP_F_4,Females - 10-14 years (no.)
2013,3645,ERP_F_4,Females - 10-14 years (no.)
2014,3606,ERP_F_4,Females - 10-14 years (no.)
2015,3618,ERP_F_4,Females - 10-14 years (no.)
2016,3614,ERP_F_4,Females - 10-14 years (no.)
2017,3744,ERP_F_4,Females - 10-14 years (no.)
2012,3963,ERP_F_5,Females - 15-19 years (no.)
2013,4115,ERP_F_5,Females - 15-19 years (no.)
2014,4172,ERP_F_5,Females - 15-19 years (no.)
2015,4154,ERP_F_5,Females - 15-19 years (no.)
2016,4145,ERP_F_5,Females - 15-19 years (no.)
2017,4117,ERP_F_5,Females - 15-19 years (no.)
2012,5232,ERP_F_6,Females - 20-24 years (no.)
2013,5477,ERP_F_6,Females - 20-24 years (no.)
2014,5753,ERP_F_6,Females - 20-24 years (no.)
2015,6112,ERP_F_6,Females - 20-24 years (no.)
2016,6479,ERP_F_6,Females - 20-24 years (no.)
2017,6665,ERP_F_6,Females - 20-24 years (no.)
2012,6749,ERP_F_7,Females - 25-29 years (no.)
2013,6984,ERP_F_7,Females - 25-29 years (no.)
2014,7373,ERP_F_7,Females - 25-29 years (no.)
2015,7900,ERP_F_7,Females - 25-29 years (no.)
2016,8422,ERP_F_7,Females - 25-29 years (no.)
2017,9058,ERP_F_7,Females - 25-29 years (no.)
2012,6210,ERP_F_8,Females - 30-34 years (no.)
2013,6538,ERP_F_8,Females - 30-34 years (no.)
2014,6895,ERP_F_8,Females - 30-34 years (no.)
2015,7230,ERP_F_8,Females - 30-34 years (no.)
2016,7798,ERP_F_8,Females - 30-34 years (no.)
2017,8284,ERP_F_8,Females - 30-34 years (no.)
2012,5571,ERP_F_9,Females - 35-39 years (no.)
2013,5570,ERP_F_9,Females - 35-39 years (no.)
2014,5638,ERP_F_9,Females - 35-39 years (no.)
2015,5827,ERP_F_9,Females - 35-39 years (no.)
2016,6098,ERP_F_9,Females - 35-39 years (no.)
2017,6418,ERP_F_9,Females - 35-39 years (no.)
2012,5445,ERP_F_10,Females - 40-44 years (no.)
2013,5516,ERP_F_10,Females - 40-44 years (no.)
2014,5588,ERP_F_10,Females - 40-44 years (no.)
2015,5629,ERP_F_10,Females - 40-44 years (no.)
2016,5636,ERP_F_10,Females - 40-44 years (no.)
2017,5658,ERP_F_10,Females - 40-44 years (no.)
2012,4743,ERP_F_11,Females - 45-49 years (no.)
2013,4761,ERP_F_11,Females - 45-49 years (no.)
2014,4803,ERP_F_11,Females - 45-49 years (no.)
2015,4944,ERP_F_11,Females - 45-49 years (no.)
2016,5120,ERP_F_11,Females - 45-49 years (no.)
2017,5346,ERP_F_11,Females - 45-49 years (no.)
2012,4397,ERP_F_12,Females - 50-54 years (no.)
2013,4504,ERP_F_12,Females - 50-54 years (no.)
2014,4684,ERP_F_12,Females - 50-54 years (no.)
2015,4709,ERP_F_12,Females - 50-54 years (no.)
2016,4783,ERP_F_12,Females - 50-54 years (no.)
2017,4806,ERP_F_12,Females - 50-54 years (no.)
2012,4033,ERP_F_13,Females - 55-59 years (no.)
2013,4099,ERP_F_13,Females - 55-59 years (no.)
2014,4094,ERP_F_13,Females - 55-59 years (no.)
2015,4198,ERP_F_13,Females - 55-59 years (no.)
2016,4292,ERP_F_13,Females - 55-59 years (no.)
2017,4436,ERP_F_13,Females - 55-59 years (no.)
2012,3650,ERP_F_14,Females - 60-64 years (no.)
2013,3676,ERP_F_14,Females - 60-64 years (no.)
2014,3765,ERP_F_14,Females - 60-64 years (no.)
2015,3861,ERP_F_14,Females - 60-64 years (no.)
2016,3957,ERP_F_14,Females - 60-64 years (no.)
2017,4046,ERP_F_14,Females - 60-64 years (no.)
2012,3209,ERP_F_15,Females - 65-69 years (no.)
2013,3309,ERP_F_15,Females - 65-69 years (no.)
2014,3355,ERP_F_15,Females - 65-69 years (no.)
2015,3371,ERP_F_15,Females - 65-69 years (no.)
2016,3451,ERP_F_15,Females - 65-69 years (no.)
2017,3504,ERP_F_15,Females - 65-69 years (no.)
2012,2574,ERP_F_16,Females - 70-74 years (no.)
2013,2601,ERP_F_16,Females - 70-74 years (no.)
2014,2631,ERP_F_16,Females - 70-74 years (no.)
2015,2726,ERP_F_16,Females - 70-74 years (no.)
2016,2810,ERP_F_16,Females - 70-74 years (no.)
2017,2940,ERP_F_16,Females - 70-74 years (no.)
2012,2250,ERP_F_17,Females - 75-79 years (no.)
2013,2285,ERP_F_17,Females - 75-79 years (no.)
2014,2350,ERP_F_17,Females - 75-79 years (no.)
2015,2405,ERP_F_17,Females - 75-79 years (no.)
2016,2378,ERP_F_17,Females - 75-79 years (no.)
2017,2396,ERP_F_17,Females - 75-79 years (no.)
2012,1747,ERP_F_18,Females - 80-84 years (no.)
2013,1766,ERP_F_18,Females - 80-84 years (no.)
2014,1797,ERP_F_18,Females - 80-84 years (no.)
2015,1801,ERP_F_18,Females - 80-84 years (no.)
2016,1804,ERP_F_18,Females - 80-84 years (no.)
2017,1886,ERP_F_18,Females - 80-84 years (no.)
2012,2174,ERP_F_19,Females - 85 and over (no.)
2013,2139,ERP_F_19,Females - 85 and over (no.)
2014,2126,ERP_F_19,Females - 85 and over (no.)
2015,2143,ERP_F_19,Females - 85 and over (no.)
2016,2180,ERP_F_19,Females - 85 and over (no.)
2017,2255,ERP_F_19,Females - 85 and over (no.)
2012,74320,ERP_F_20,Females - Total (no.)
2013,75943,ERP_F_20,Females - Total (no.)
2014,77733,ERP_F_20,Females - Total (no.)
2015,79843,ERP_F_20,Females - Total (no.)
2016,82302,ERP_F_20,Females - Total (no.)
2017,85052,ERP_F_20,Females - Total (no.)
2012,9860,ERP_P_2,Persons - 0-4 years (no.)
2013,10122,ERP_P_2,Persons - 0-4 years (no.)
2014,10171,ERP_P_2,Persons - 0-4 years (no.)
2015,10293,ERP_P_2,Persons - 0-4 years (no.)
2016,10337,ERP_P_2,Persons - 0-4 years (no.)
2017,10480,ERP_P_2,Persons - 0-4 years (no.)
2012,8124,ERP_P_3,Persons - 5-9 years (no.)
2013,8260,ERP_P_3,Persons - 5-9 years (no.)
2014,8524,ERP_P_3,Persons - 5-9 years (no.)
2015,8640,ERP_P_3,Persons - 5-9 years (no.)
2016,8858,ERP_P_3,Persons - 5-9 years (no.)
2017,9078,ERP_P_3,Persons - 5-9 years (no.)
2012,7428,ERP_P_4,Persons - 10-14 years (no.)
2013,7453,ERP_P_4,Persons - 10-14 years (no.)
2014,7395,ERP_P_4,Persons - 10-14 years (no.)
2015,7472,ERP_P_4,Persons - 10-14 years (no.)
2016,7595,ERP_P_4,Persons - 10-14 years (no.)
2017,7789,ERP_P_4,Persons - 10-14 years (no.)
2012,8071,ERP_P_5,Persons - 15-19 years (no.)
2013,8387,ERP_P_5,Persons - 15-19 years (no.)
2014,8543,ERP_P_5,Persons - 15-19 years (no.)
