Time,Value,MEASURE,Description
2012,15.4,ERP_6,Persons - 0-14 years (%)
2013,15.7,ERP_6,Persons - 0-14 years (%)
2014,15.7,ERP_6,Persons - 0-14 years (%)
2015,15.6,ERP_6,Persons - 0-14 years (%)
2016,15.4,ERP_6,Persons - 0-14 years (%)
2017,15.1,ERP_6,Persons - 0-14 years (%)
2012,10.9,ERP_7,Persons - 15-24 years (%)
2013,10.8,ERP_7,Persons - 15-24 years (%)
2014,10.8,ERP_7,Persons - 15-24 years (%)
2015,10.9,ERP_7,Persons - 15-24 years (%)
2016,11.1,ERP_7,Persons - 15-24 years (%)
2017,11.2,ERP_7,Persons - 15-24 years (%)
2012,20.4,ERP_8,Persons - 25-34 years (%)
2013,20.3,ERP_8,Persons - 25-34 years (%)
2014,20.3,ERP_8,Persons - 25-34 years (%)
2015,20.5,ERP_8,Persons - 25-34 years (%)
2016,20.8,ERP_8,Persons - 25-34 years (%)
2017,21.1,ERP_8,Persons - 25-34 years (%)
2012,18.7,ERP_9,Persons - 35-44 years (%)
2013,18.4,ERP_9,Persons - 35-44 years (%)
2014,17.9,ERP_9,Persons - 35-44 years (%)
2015,17.6,ERP_9,Persons - 35-44 years (%)
2016,17.2,ERP_9,Persons - 35-44 years (%)
2017,16.9,ERP_9,Persons - 35-44 years (%)
2012,13.3,ERP_10,Persons - 45-54 years (%)
2013,13.4,ERP_10,Persons - 45-54 years (%)
2014,13.5,ERP_10,Persons - 45-54 years (%)
2015,13.5,ERP_10,Persons - 45-54 years (%)
2016,13.5,ERP_10,Persons - 45-54 years (%)
2017,13.6,ERP_10,Persons - 45-54 years (%)
2012,9.9,ERP_11,Persons - 55-64 years (%)
2013,9.9,ERP_11,Persons - 55-64 years (%)
2014,10,ERP_11,Persons - 55-64 years (%)
2015,10,ERP_11,Persons - 55-64 years (%)
2016,10,ERP_11,Persons - 55-64 years (%)
2017,10,ERP_11,Persons - 55-64 years (%)
2012,6.1,ERP_12,Persons - 65-74 years (%)
2013,6.3,ERP_12,Persons - 65-74 years (%)
2014,6.4,ERP_12,Persons - 65-74 years (%)
2015,6.5,ERP_12,Persons - 65-74 years (%)
2016,6.7,ERP_12,Persons - 65-74 years (%)
2017,6.8,ERP_12,Persons - 65-74 years (%)
2012,3.7,ERP_13,Persons - 75-84 years (%)
2013,3.7,ERP_13,Persons - 75-84 years (%)
2014,3.7,ERP_13,Persons - 75-84 years (%)
2015,3.7,ERP_13,Persons - 75-84 years (%)
2016,3.7,ERP_13,Persons - 75-84 years (%)
2017,3.6,ERP_13,Persons - 75-84 years (%)
2012,1.6,ERP_14,Persons - 85 years and over (%)
2013,1.6,ERP_14,Persons - 85 years and over (%)
