Time,Value,MEASURE,Description
2012,7.1,ERP_6,Persons - 0-14 years (%)
2013,7.2,ERP_6,Persons - 0-14 years (%)
2014,7.1,ERP_6,Persons - 0-14 years (%)
2015,7.1,ERP_6,Persons - 0-14 years (%)
2016,6.9,ERP_6,Persons - 0-14 years (%)
2017,7,ERP_6,Persons - 0-14 years (%)
2012,16.6,ERP_7,Persons - 15-24 years (%)
2013,16.9,ERP_7,Persons - 15-24 years (%)
2014,17.3,ERP_7,Persons - 15-24 years (%)
2015,17.6,ERP_7,Persons - 15-24 years (%)
2016,18.1,ERP_7,Persons - 15-24 years (%)
2017,18.1,ERP_7,Persons - 15-24 years (%)
2012,33,ERP_8,Persons - 25-34 years (%)
2013,32.8,ERP_8,Persons - 25-34 years (%)
2014,32.7,ERP_8,Persons - 25-34 years (%)
2015,32.7,ERP_8,Persons - 25-34 years (%)
2016,32.9,ERP_8,Persons - 25-34 years (%)
2017,33.3,ERP_8,Persons - 25-34 years (%)
2012,17.1,ERP_9,Persons - 35-44 years (%)
2013,16.9,ERP_9,Persons - 35-44 years (%)
2014,16.6,ERP_9,Persons - 35-44 years (%)
2015,16.3,ERP_9,Persons - 35-44 years (%)
2016,15.8,ERP_9,Persons - 35-44 years (%)
2017,15.7,ERP_9,Persons - 35-44 years (%)
2012,10.6,ERP_10,Persons - 45-54 years (%)
2013,10.5,ERP_10,Persons - 45-54 years (%)
2014,10.4,ERP_10,Persons - 45-54 years (%)
2015,10.3,ERP_10,Persons - 45-54 years (%)
2016,10.2,ERP_10,Persons - 45-54 years (%)
2017,9.9,ERP_10,Persons - 45-54 years (%)
2012,8,ERP_11,Persons - 55-64 years (%)
2013,7.9,ERP_11,Persons - 55-64 years (%)
2014,7.8,ERP_11,Persons - 55-64 years (%)
2015,7.8,ERP_11,Persons - 55-64 years (%)
2016,7.8,ERP_11,Persons - 55-64 years (%)
2017,7.7,ERP_11,Persons - 55-64 years (%)
2012,4.7,ERP_12,Persons - 65-74 years (%)
2013,4.8,ERP_12,Persons - 65-74 years (%)
2014,4.9,ERP_12,Persons - 65-74 years (%)
2015,5.1,ERP_12,Persons - 65-74 years (%)
2016,5.2,ERP_12,Persons - 65-74 years (%)
2017,5.1,ERP_12,Persons - 65-74 years (%)
2012,2.3,ERP_13,Persons - 75-84 years (%)
2013,2.3,ERP_13,Persons - 75-84 years (%)
2014,2.3,ERP_13,Persons - 75-84 years (%)
2015,2.3,ERP_13,Persons - 75-84 years (%)
2016,2.3,ERP_13,Persons - 75-84 years (%)
2017,2.3,ERP_13,Persons - 75-84 years (%)
2012,0.8,ERP_14,Persons - 85 years and over (%)
2013,0.8,ERP_14,Persons - 85 years and over (%)
2014,0.8,ERP_14,Persons - 85 years and over (%)
2015,0.8,ERP_14,Persons - 85 years and over (%)
2016,0.8,ERP_14,Persons - 85 years and over (%)
2017,0.9,ERP_14,Persons - 85 years and over (%)
2012,3629,ERP_M_2,Males - 0-4 years (no.)
2013,3789,ERP_M_2,Males - 0-4 years (no.)
2014,3882,ERP_M_2,Males - 0-4 years (no.)
2015,3924,ERP_M_2,Males - 0-4 years (no.)
2016,3944,ERP_M_2,Males - 0-4 years (no.)
2017,4188,ERP_M_2,Males - 0-4 years (no.)
2012,1800,ERP_M_3,Males - 5-9 years (no.)
2013,1969,ERP_M_3,Males - 5-9 years (no.)
2014,2067,ERP_M_3,Males - 5-9 years (no.)
2015,2194,ERP_M_3,Males - 5-9 years (no.)
2016,2243,ERP_M_3,Males - 5-9 years (no.)
2017,2396,ERP_M_3,Males - 5-9 years (no.)
2012,1450,ERP_M_4,Males - 10-14 years (no.)
2013,1453,ERP_M_4,Males - 10-14 years (no.)
2014,1506,ERP_M_4,Males - 10-14 years (no.)
2015,1557,ERP_M_4,Males - 10-14 years (no.)
2016,1618,ERP_M_4,Males - 10-14 years (no.)
2017,1661,ERP_M_4,Males - 10-14 years (no.)
2012,3194,ERP_M_5,Males - 15-19 years (no.)
2013,3440,ERP_M_5,Males - 15-19 years (no.)
2014,3694,ERP_M_5,Males - 15-19 years (no.)
2015,3914,ERP_M_5,Males - 15-19 years (no.)
2016,4165,ERP_M_5,Males - 15-19 years (no.)
2017,3732,ERP_M_5,Males - 15-19 years (no.)
2012,11786,ERP_M_6,Males - 20-24 years (no.)
2013,12324,ERP_M_6,Males - 20-24 years (no.)
2014,13020,ERP_M_6,Males - 20-24 years (no.)
2015,13751,ERP_M_6,Males - 20-24 years (no.)
2016,14563,ERP_M_6,Males - 20-24 years (no.)
2017,15850,ERP_M_6,Males - 20-24 years (no.)
2012,17766,ERP_M_7,Males - 25-29 years (no.)
2013,18173,ERP_M_7,Males - 25-29 years (no.)
2014,18840,ERP_M_7,Males - 25-29 years (no.)
2015,19691,ERP_M_7,Males - 25-29 years (no.)
2016,20582,ERP_M_7,Males - 25-29 years (no.)
2017,21785,ERP_M_7,Males - 25-29 years (no.)
2012,15237,ERP_M_8,Males - 30-34 years (no.)
2013,15667,ERP_M_8,Males - 30-34 years (no.)
2014,16149,ERP_M_8,Males - 30-34 years (no.)
2015,16838,ERP_M_8,Males - 30-34 years (no.)
2016,17615,ERP_M_8,Males - 30-34 years (no.)
2017,18407,ERP_M_8,Males - 30-34 years (no.)
2012,10553,ERP_M_9,Males - 35-39 years (no.)
2013,10698,ERP_M_9,Males - 35-39 years (no.)
2014,10806,ERP_M_9,Males - 35-39 years (no.)
2015,11160,ERP_M_9,Males - 35-39 years (no.)
2016,11457,ERP_M_9,Males - 35-39 years (no.)
2017,12062,ERP_M_9,Males - 35-39 years (no.)
2012,8236,ERP_M_10,Males - 40-44 years (no.)
2013,8342,ERP_M_10,Males - 40-44 years (no.)
2014,8474,ERP_M_10,Males - 40-44 years (no.)
2015,8548,ERP_M_10,Males - 40-44 years (no.)
2016,8404,ERP_M_10,Males - 40-44 years (no.)
2017,8450,ERP_M_10,Males - 40-44 years (no.)
2012,6287,ERP_M_11,Males - 45-49 years (no.)
2013,6400,ERP_M_11,Males - 45-49 years (no.)
2014,6542,ERP_M_11,Males - 45-49 years (no.)
2015,6656,ERP_M_11,Males - 45-49 years (no.)
2016,6806,ERP_M_11,Males - 45-49 years (no.)
2017,7150,ERP_M_11,Males - 45-49 years (no.)
2012,5302,ERP_M_12,Males - 50-54 years (no.)
2013,5525,ERP_M_12,Males - 50-54 years (no.)
2014,5770,ERP_M_12,Males - 50-54 years (no.)
2015,5986,ERP_M_12,Males - 50-54 years (no.)
2016,6063,ERP_M_12,Males - 50-54 years (no.)
2017,6018,ERP_M_12,Males - 50-54 years (no.)
2012,4337,ERP_M_13,Males - 55-59 years (no.)
2013,4491,ERP_M_13,Males - 55-59 years (no.)
2014,4599,ERP_M_13,Males - 55-59 years (no.)
2015,4814,ERP_M_13,Males - 55-59 years (no.)
2016,5133,ERP_M_13,Males - 55-59 years (no.)
2017,5282,ERP_M_13,Males - 55-59 years (no.)
2012,3773,ERP_M_14,Males - 60-64 years (no.)
2013,3773,ERP_M_14,Males - 60-64 years (no.)
2014,3920,ERP_M_14,Males - 60-64 years (no.)
2015,4007,ERP_M_14,Males - 60-64 years (no.)
2016,4047,ERP_M_14,Males - 60-64 years (no.)
2017,4246,ERP_M_14,Males - 60-64 years (no.)
2012,2816,ERP_M_15,Males - 65-69 years (no.)
2013,3012,ERP_M_15,Males - 65-69 years (no.)
2014,3248,ERP_M_15,Males - 65-69 years (no.)
2015,3515,ERP_M_15,Males - 65-69 years (no.)
2016,3686,ERP_M_15,Males - 65-69 years (no.)
2017,3629,ERP_M_15,Males - 65-69 years (no.)
2012,1849,ERP_M_16,Males - 70-74 years (no.)
2013,1979,ERP_M_16,Males - 70-74 years (no.)
2014,2060,ERP_M_16,Males - 70-74 years (no.)
2015,2212,ERP_M_16,Males - 70-74 years (no.)
2016,2377,ERP_M_16,Males - 70-74 years (no.)
2017,2638,ERP_M_16,Males - 70-74 years (no.)
2012,1307,ERP_M_17,Males - 75-79 years (no.)
2013,1335,ERP_M_17,Males - 75-79 years (no.)
2014,1410,ERP_M_17,Males - 75-79 years (no.)
2015,1459,ERP_M_17,Males - 75-79 years (no.)
2016,1518,ERP_M_17,Males - 75-79 years (no.)
2017,1602,ERP_M_17,Males - 75-79 years (no.)
2012,855,ERP_M_18,Males - 80-84 years (no.)
2013,876,ERP_M_18,Males - 80-84 years (no.)
