Time,Value,MEASURE,Description
2012,15.3,ERP_6,Persons - 0-14 years (%)
2013,15.6,ERP_6,Persons - 0-14 years (%)
2014,15.8,ERP_6,Persons - 0-14 years (%)
2015,15.8,ERP_6,Persons - 0-14 years (%)
2016,15.6,ERP_6,Persons - 0-14 years (%)
2017,15.5,ERP_6,Persons - 0-14 years (%)
2012,10.9,ERP_7,Persons - 15-24 years (%)
2013,10.8,ERP_7,Persons - 15-24 years (%)
2014,10.7,ERP_7,Persons - 15-24 years (%)
2015,10.6,ERP_7,Persons - 15-24 years (%)
2016,10.6,ERP_7,Persons - 15-24 years (%)
2017,10.7,ERP_7,Persons - 15-24 years (%)
2012,18.4,ERP_8,Persons - 25-34 years (%)
2013,18,ERP_8,Persons - 25-34 years (%)
2014,17.8,ERP_8,Persons - 25-34 years (%)
2015,17.9,ERP_8,Persons - 25-34 years (%)
2016,18,ERP_8,Persons - 25-34 years (%)
2017,17.9,ERP_8,Persons - 25-34 years (%)
2012,15.1,ERP_9,Persons - 35-44 years (%)
2013,15.2,ERP_9,Persons - 35-44 years (%)
2014,15,ERP_9,Persons - 35-44 years (%)
2015,14.7,ERP_9,Persons - 35-44 years (%)
2016,14.3,ERP_9,Persons - 35-44 years (%)
2017,14.1,ERP_9,Persons - 35-44 years (%)
2012,12.4,ERP_10,Persons - 45-54 years (%)
2013,12.4,ERP_10,Persons - 45-54 years (%)
2014,12.5,ERP_10,Persons - 45-54 years (%)
2015,12.6,ERP_10,Persons - 45-54 years (%)
2016,12.7,ERP_10,Persons - 45-54 years (%)
2017,12.7,ERP_10,Persons - 45-54 years (%)
2012,11.2,ERP_11,Persons - 55-64 years (%)
2013,10.9,ERP_11,Persons - 55-64 years (%)
2014,10.7,ERP_11,Persons - 55-64 years (%)
2015,10.7,ERP_11,Persons - 55-64 years (%)
2016,10.8,ERP_11,Persons - 55-64 years (%)
2017,10.8,ERP_11,Persons - 55-64 years (%)
2012,9.1,ERP_12,Persons - 65-74 years (%)
2013,9.5,ERP_12,Persons - 65-74 years (%)
2014,9.8,ERP_12,Persons - 65-74 years (%)
2015,10,ERP_12,Persons - 65-74 years (%)
2016,10,ERP_12,Persons - 65-74 years (%)
2017,9.9,ERP_12,Persons - 65-74 years (%)
2012,4.8,ERP_13,Persons - 75-84 years (%)
2013,4.9,ERP_13,Persons - 75-84 years (%)
2014,4.9,ERP_13,Persons - 75-84 years (%)
2015,5,ERP_13,Persons - 75-84 years (%)
2016,5.2,ERP_13,Persons - 75-84 years (%)
2017,5.4,ERP_13,Persons - 75-84 years (%)
2012,2.8,ERP_14,Persons - 85 years and over (%)
2013,2.8,ERP_14,Persons - 85 years and over (%)
2014,2.8,ERP_14,Persons - 85 years and over (%)
2015,2.8,ERP_14,Persons - 85 years and over (%)
2016,2.9,ERP_14,Persons - 85 years and over (%)
2017,2.9,ERP_14,Persons - 85 years and over (%)
2012,1709,ERP_M_2,Males - 0-4 years (no.)
2013,1727,ERP_M_2,Males - 0-4 years (no.)
2014,1708,ERP_M_2,Males - 0-4 years (no.)
2015,1650,ERP_M_2,Males - 0-4 years (no.)
2016,1541,ERP_M_2,Males - 0-4 years (no.)
2017,1523,ERP_M_2,Males - 0-4 years (no.)
2012,1329,ERP_M_3,Males - 5-9 years (no.)
2013,1410,ERP_M_3,Males - 5-9 years (no.)
2014,1471,ERP_M_3,Males - 5-9 years (no.)
2015,1522,ERP_M_3,Males - 5-9 years (no.)
2016,1550,ERP_M_3,Males - 5-9 years (no.)
2017,1541,ERP_M_3,Males - 5-9 years (no.)
2012,1322,ERP_M_4,Males - 10-14 years (no.)
2013,1316,ERP_M_4,Males - 10-14 years (no.)
2014,1342,ERP_M_4,Males - 10-14 years (no.)
2015,1372,ERP_M_4,Males - 10-14 years (no.)
2016,1424,ERP_M_4,Males - 10-14 years (no.)
2017,1444,ERP_M_4,Males - 10-14 years (no.)
2012,1361,ERP_M_5,Males - 15-19 years (no.)
2013,1335,ERP_M_5,Males - 15-19 years (no.)
2014,1336,ERP_M_5,Males - 15-19 years (no.)
2015,1331,ERP_M_5,Males - 15-19 years (no.)
2016,1386,ERP_M_5,Males - 15-19 years (no.)
2017,1425,ERP_M_5,Males - 15-19 years (no.)
2012,1619,ERP_M_6,Males - 20-24 years (no.)
2013,1653,ERP_M_6,Males - 20-24 years (no.)
2014,1658,ERP_M_6,Males - 20-24 years (no.)
2015,1642,ERP_M_6,Males - 20-24 years (no.)
2016,1565,ERP_M_6,Males - 20-24 years (no.)
2017,1585,ERP_M_6,Males - 20-24 years (no.)
2012,2388,ERP_M_7,Males - 25-29 years (no.)
2013,2294,ERP_M_7,Males - 25-29 years (no.)
2014,2242,ERP_M_7,Males - 25-29 years (no.)
2015,2246,ERP_M_7,Males - 25-29 years (no.)
2016,2307,ERP_M_7,Males - 25-29 years (no.)
2017,2344,ERP_M_7,Males - 25-29 years (no.)
2012,2448,ERP_M_8,Males - 30-34 years (no.)
2013,2441,ERP_M_8,Males - 30-34 years (no.)
2014,2409,ERP_M_8,Males - 30-34 years (no.)
2015,2438,ERP_M_8,Males - 30-34 years (no.)
2016,2411,ERP_M_8,Males - 30-34 years (no.)
2017,2380,ERP_M_8,Males - 30-34 years (no.)
2012,2169,ERP_M_9,Males - 35-39 years (no.)
2013,2146,ERP_M_9,Males - 35-39 years (no.)
2014,2124,ERP_M_9,Males - 35-39 years (no.)
2015,2059,ERP_M_9,Males - 35-39 years (no.)
2016,2074,ERP_M_9,Males - 35-39 years (no.)
2017,2103,ERP_M_9,Males - 35-39 years (no.)
